Title	x	y
A -73.778484 40.986321
A -73.778567 40.986041
A -73.778642 40.98581
A -73.778827 40.985641
A -73.786856 40.98503
A -73.787225 40.984673
A -73.78733 40.984474
A -73.787452 40.984263
A -73.787593 40.984051
A -73.787698 40.983892
A -73.787908 40.98366
A -73.786326 40.984959
A -73.786028 40.984849
A -73.785679 40.984756
A -73.785171 40.984674
A -73.784764 40.984548
A -73.784517 40.984337
A -73.786544 40.984592
A -73.786337 40.984548
A -73.785789 40.984424
A -73.78551 40.984378
A -73.785348 40.98429
A -73.785125 40.984194
A -73.784923 40.984064
A -73.778683 40.985209
A -73.779101 40.985137
A -73.779591 40.985052
A -73.779897 40.98504
A -73.780483 40.984961
A -73.780909 40.984851
A -73.781134 40.98453
A -73.780668 40.984566
A -73.779784 40.984712
A -73.779455 40.984712
A -73.779173 40.984766
A -73.778876 40.984833
A -73.778595 40.9848
A -73.780283 40.98433
A -73.780266 40.984123
C -73.780338 40.983808
A -73.780636 40.983782
A -73.780717 40.984084
A -73.780981 40.983679
A -73.781151 40.983994
A -73.778535 40.984473
A -73.778941 40.984418
A -73.779285 40.984387
A -73.779608 40.98429
A -73.77966 40.984031
A -73.779606 40.983776
A -73.779823 40.983517
A -73.780253 40.983406
A -73.780776 40.98325
A -73.780585 40.98295
A -73.780509 40.982687
A -73.780651 40.982383
A -73.780841 40.982186
A -73.781064 40.981939
A -73.780874 40.981713
A -73.780509 40.981841
A -73.780248 40.982161
A -73.779921 40.982354
A -73.779715 40.982597
A -73.779949 40.982736
A -73.779998 40.983024
A -73.779715 40.983139
C -73.779421 40.983131
A -73.779372 40.982872
A -73.779105 40.98304
A -73.778811 40.983258
A -73.778974 40.98348
A -73.7791 40.983706
A -73.779121 40.983891
A -73.778925 40.984051
A -73.778631 40.984035
A -73.778534 40.983809
A -73.778523 40.983579
A -73.778153 40.98371
A -73.778229 40.984129
A -73.781819 40.983733
A -73.781483 40.983415
A -73.781361 40.983157
A -73.781183 40.982903
A -73.781073 40.982673
A -73.781409 40.982433
A -73.781568 40.982682
A -73.781635 40.982959
A -73.781923 40.983268
A -73.782155 40.983623
A -73.782845 40.983631
A -73.782569 40.983363
A -73.782418 40.983107
A -73.782329 40.982859
A -73.782151 40.982604
A -73.782036 40.982349
A -73.781858 40.982094
A -73.781644 40.981839
A -73.781431 40.98157
A -73.781249 40.981335
A -73.781698 40.981077
A -73.781822 40.981265
A -73.781925 40.981513
A -73.782116 40.981728
A -73.782298 40.981936
A -73.782414 40.982188
A -73.782583 40.982416
A -73.782752 40.982638
A -73.782876 40.98293
A -73.783116 40.983352
A -73.783276 40.983577
A -73.784255 40.983936
A -73.784035 40.983677
A -73.783922 40.983426
A -73.783799 40.98326
A -73.783659 40.983085
A -73.783563 40.982931
A -73.783423 40.982539
A -73.783825 40.982389
A -73.783927 40.982624
A -73.784088 40.982818
A -73.78418 40.98298
A -73.784346 40.983162
A -73.784464 40.98334
A -73.784571 40.983523
A -73.784711 40.983754
A -73.788239 40.983361
A -73.786786 40.984244
A -73.786904 40.984054
A -73.786941 40.983884
C -73.787208 40.983686
A -73.787253 40.983515
A -73.786613 40.983659
A -73.786369 40.983872
A -73.786294 40.984095
A -73.785671 40.984002
A -73.785945 40.983637
A -73.786272 40.983317
A -73.786492 40.983257
A -73.78705 40.983155
A -73.787249 40.983115
A -73.787222 40.982714
A -73.786991 40.982742
A -73.786734 40.982811
A -73.786428 40.982848
A -73.786165 40.982929
A -73.78595 40.983042
A -73.785747 40.983176
A -73.785564 40.983366
A -73.785376 40.983739
A -73.785001 40.983176
A -73.784711 40.982904
A -73.78469 40.982662
A -73.784416 40.982322
A -73.784851 40.982277
A -73.785039 40.982423
A -73.785183 40.98267
A -73.785296 40.982856
A -73.785468 40.982192
A -73.785736 40.982143
A -73.786026 40.982083
A -73.78631 40.982046
A -73.786573 40.981998
A -73.786857 40.981981
A -73.787195 40.982026
A -73.787275 40.982285
A -73.786959 40.982305
A -73.786659 40.982423
A -73.786036 40.982492
A -73.785779 40.982581
A -73.788263 40.983334
A -73.788048 40.983326
A -73.787898 40.983156
A -73.78778 40.982767
A -73.787807 40.982617
A -73.787774 40.98237
A -73.787662 40.982107
A -73.787694 40.981746
A -73.783126 40.982156
A -73.783416 40.982115
A -73.783744 40.982105
A -73.784068 40.98205
A -73.784393 40.981994
A -73.784687 40.981938
A -73.784953 40.981894
A -73.785262 40.981849
A -73.785572 40.981771
A -73.785955 40.981671
A -73.786324 40.981638
A -73.786582 40.98161
A -73.786899 40.981571
A -73.787252 40.981638
A -73.782778 40.981655
A -73.783287 40.981655
A -73.783915 40.981629
A -73.784355 40.98154
A -73.784859 40.981459
A -73.785422 40.981317
A -73.785911 40.981289
A -73.786361 40.981172
A -73.786978 40.981099
A -73.78767 40.9812
A -73.782543 40.981233
A -73.783043 40.981233
A -73.782918 40.980803
A -73.783199 40.98003
A -73.783558 40.979836
A -73.784027 40.979618
A -73.783769 40.981227
A -73.783621 40.981032
A -73.783472 40.980803
A -73.783324 40.980514
A -73.783519 40.980325
A -73.783691 40.980573
A -73.784011 40.980791
A -73.78437 40.980808
A -73.784745 40.98075
A -73.785097 40.980614
A -73.785292 40.980343
A -73.785276 40.980095
A -73.785042 40.97993
A -73.784605 40.980119
A -73.78455 40.98039
A -73.784238 40.980396
A -73.784071 40.980105
