location_name,top_category,latitude,longitude
Personal Care Services,Olivia Dawn Hair Horizons,43.29758,-75.4727
Automotive Repair and Maintenance,Dans Auto repair,43.026336,-74.883366
Furniture Stores,Mattress Express Oneida,43.076009,-75.641995
 and Musical Instrument Stores, Hobby,Sporting Goods,Jo-Ann Fabric and Craft Stores,43.0767,-75.294474
Nursing Care Facilities (Skilled Nursing Facilities),Oneida Health Rehabilitation And Extended Care,43.076882,-75.65459
Restaurants and Other Eating Places,Kimchi Furji Sushi,43.076502,-75.64405
Restaurants and Other Eating Places,Charlie's Pizza,43.053369,-75.277206
Other Amusement and Recreation Industries,Yahnundasis Golf Club,43.083724,-75.307036
Grocery Stores,Clifford Fuel Co Mobil,43.240509,-75.437826
 and Musical Instrument Stores, Hobby,Sporting Goods,Carol's Crafts,43.22741,-75.490811
Furniture Stores,Signature 81,43.04806,-75.379361
Restaurants and Other Eating Places,The Big Cheese,43.094982,-75.652254
Book Stores and News Dealers,The Treehouse Reading & Art Center,43.097276,-75.296825
Religious Organizations,Bartlett Baptist Church,43.134994,-75.441953
Religious Organizations,Christain And Missionary Alliance Church Rome New York,43.235945,-75.454748
Bakeries and Tortilla Manufacturing,Big Papi's Coquito Iceys,43.09006,-75.302139
Used Merchandise Stores,Trunk n treasures,43.216587,-75.468877
Furniture Stores,Joe Tahan's Furniture,43.207778,-75.463545
Automotive Repair and Maintenance,Glassy Business Window Tinting,43.101514,-75.294388
Other Amusement and Recreation Industries,Little Falls Municipal Golf Course,43.061362,-74.859601
Health and Personal Care Stores,Herkimer Eyecare Center,43.027531,-74.979534
Grocery Stores,Rock City Grocery,43.044745,-74.848962
Shoe Stores,K & K Dance Wear,43.095703,-75.651387
Gasoline Stations,G K Management,43.219477,-75.476361
Other Amusement and Recreation Industries,Planet Fitness,43.076713,-75.64401
Grocery Stores,Planned Parenthood Mohawk Hudson,43.03393,-74.987924
Religious Organizations,Holt John E Rev,43.072992,-75.294399
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Dollar Tree,43.075962,-75.644007
Restaurants and Other Eating Places,Subway,43.015764,-75.034804
Restaurants and Other Eating Places,Merrill's Restaurant,43.18445,-75.333045
Automotive Repair and Maintenance,Precision Unlimited Carcare,43.079914,-75.390144
Automotive Repair and Maintenance,Mavis Discount Tire,43.078369,-75.648129
 and Gift Stores, Stationery,Office Supplies,Pecoraro Dairy Prods,43.219045,-75.478843
Traveler Accommodation,Travelodge,43.042071,-74.859564
Automotive Repair and Maintenance,Mavis Discount Tire,43.025137,-74.985366
 and Musical Instrument Stores, Hobby,Sporting Goods,Wilcor International,43.08542,-75.119625
 and Musical Instrument Stores, Hobby,Sporting Goods,Jean Burgdorf Piano Lessons,43.237831,-75.456264
 and Liquor Stores, Wine,Beer,Vintage Spirits,43.023076,-74.988887
Automotive Repair and Maintenance,Professional Transmission &amp Converter,43.132597,-75.255648
Religious Organizations,Zion Evangelical Lutheran Church,43.093297,-75.275095
Grocery Stores,Stewart's Shops,43.223206,-75.420297
Personal Care Services,Sacred Eagle Tattoos,43.016832,-75.034233
Gasoline Stations,Sunoco,43.022346,-75.051631
Automotive Repair and Maintenance,Clinton's Car Wash,43.040196,-75.391489
Restaurants and Other Eating Places,Sam's Eats & Sweets,43.258644,-75.46138
Personal Care Services,Zensations Therapeutic Massage,43.214888,-75.456384
Restaurants and Other Eating Places,Dunkin',43.017085,-74.802861
Grocery Stores,Cedarville Country Store,42.930557,-75.112745
Grocery Stores,Food Center,43.219529,-75.324356
 and Gift Stores, Stationery,Office Supplies,Edible Arrangements,43.21337,-75.474217
Lessors of Real Estate,Marcy Town Center,43.139729,-75.276477
Restaurants and Other Eating Places,The Boys From Italy,43.212724,-75.460936
Shoe Stores,Shoe Dept Encore,43.210545,-75.460443
 and Liquor Stores, Wine,Beer,Seneca Wine and Liquor,43.077088,-75.310336
Restaurants and Other Eating Places,Baileys Jamaican Cuisine,43.096614,-75.650965
Religious Organizations,First United Methodist Church Oneida,43.087666,-75.648097
Automotive Repair and Maintenance,Rome Auto Electric,43.214038,-75.465196
Department Stores,Marcy Highway Department,43.185465,-75.259518
Grocery Stores,Price Chopper New England,43.043567,-74.857684
Restaurants and Other Eating Places,Papa Rick's Snack Shack,43.239905,-75.438083
Automotive Repair and Maintenance,Monai Interiors,43.091621,-75.315673
Other Amusement and Recreation Industries,Kanon Valley Country Club,43.139079,-75.714179
Restaurants and Other Eating Places,Woody's Ice Cream Place,43.023081,-74.988919
Other Amusement and Recreation Industries,Herkimer Bowling Center,43.020208,-74.992498
Lessors of Real Estate,Indian Castle Travel Plaza,43.043478,-74.859466
Other Amusement and Recreation Industries,Planet Fitness,43.085011,-75.321374
Automotive Repair and Maintenance,Frank's Body Works,43.078377,-75.290578
Building Material and Supplies Dealers,Quality Water Service,43.097226,-75.655605
Personal Care Services,Twizted Ink,43.227871,-75.491337
Automotive Repair and Maintenance,Auto Restoration,43.226528,-75.509944
Restaurants and Other Eating Places,Dunkin',43.138735,-75.276518
Restaurants and Other Eating Places,Number One Chinese Restaurant,43.075927,-75.64215
Automotive Repair and Maintenance,Chris' Collision,43.016487,-74.878684
Personal Care Services,Accents of Hair & Fashion,43.218007,-75.453618
Personal Care Services,New Wave Hair Systems,43.0091,-75.263527
Restaurants and Other Eating Places,Dunkin',43.080351,-75.3915
Other Amusement and Recreation Industries,CrossFit,43.199049,-75.448671
Bakeries and Tortilla Manufacturing,Nothing Bundt Cakes,43.093823,-75.307566
Restaurants and Other Eating Places,Main Moon Chinese Kitchen,43.015825,-75.03685
 and Musical Instrument Stores, Hobby,Sporting Goods,Piano Lab,43.026229,-75.271131
Restaurants and Other Eating Places,Asian Bistro & Grill,43.073487,-75.294994
Religious Organizations,Dinh Thanh Temple,43.085281,-75.17064
 and Liquor Stores, Wine,Beer,Vine and Fig,43.257196,-75.461809
Religious Organizations,First Presbyterian Church,43.090772,-75.651936
Religious Organizations,Friendship Baptist Church,43.217584,-75.558983
Religious Organizations,Holy Trinity Lutheran Church,43.046002,-74.860104
Building Material and Supplies Dealers,Spectrum Paint & Decorating Center,43.223209,-75.483869
Restaurants and Other Eating Places,Donna's Cafe,43.229952,-75.495379
Home Health Care Services,Daughter for Hire,43.047887,-75.378914
Personal Care Services,Liberty St Clippers,43.214838,-75.463315
Restaurants and Other Eating Places,The Gas and Oil Grill,43.076056,-75.641876
 and Musical Instrument Stores, Hobby,Sporting Goods,Hobby Lobby Stores,43.087264,-75.314979
Restaurants and Other Eating Places,O'Scugnizzo's Pizzeria,43.207523,-75.450298
Miscellaneous Durable Goods Merchant Wholesalers,Swan Pools,43.055508,-75.271649
Other Amusement and Recreation Industries,Empire Gymnastics & Fitness,43.037146,-75.071653
Grocery Stores,Stewart's Shops,43.095328,-75.318128
 and Musical Instrument Stores, Hobby,Sporting Goods,Words of Life Promotions,43.208719,-75.474855
Furniture Stores,Thompson Appliances & Furniture,43.235688,-75.50106
Religious Organizations,New Hope Ministries Church,43.024815,-74.980334
Lessors of Real Estate,Hannaford Plaza,43.053674,-75.277639
Restaurants and Other Eating Places,O'Baby's Gourmet Sandwich Shoppe,43.062922,-75.272303
Restaurants and Other Eating Places,Cafe Canole,43.074288,-75.28821
