Title	x	y
Point	-75.26594265	43.09515801
Point	-75.26580853	43.09513059
Point	-75.26571196	43.09505226
Point	-75.26594535	43.0947252
Point	-75.26540348	43.09494062
Point	-75.26574951	43.09464097
Point	-75.26553221	43.09456258
Point	-75.26528544	43.09488775
Point	-75.26514701	43.09482582
Point	-75.26854336	43.0949702
Point	-75.26832885	43.09518766
Point	-75.26822419	43.09529143
Point	-75.26817326	43.09539133
Point	-75.26806061	43.09546769
Point	-75.26801767	43.09557546
Point	-75.26790772	43.09566356
Point	-75.26785409	43.09575756
Point	-75.26776021	43.09585162
Point	-75.26766634	43.09593585
Point	-75.26760732	43.09603372
Point	-75.26750536	43.09611407
Point	-75.26748389	43.09623746
Point	-75.26678114	43.09629617
Point	-75.26715672	43.09588291
Point	-75.26693673	43.09611597
Point	-75.26728276	43.09575953
Point	-75.2674034	43.09562046
Point	-75.26753491	43.09540307
Point	-75.26714594	43.09526598
Point	-75.26702791	43.09546185
Point	-75.26687771	43.09557736
Point	-75.26678114	43.0956753
Point	-75.26667657	43.09580656
Point	-75.26688615	43.09685589
Point	-75.26713777	43.09656799
Point	-75.2667461	43.09714188
Point	-75.26623919	43.09692253
Point	-75.26646448	43.09669138
Point	-75.26655575	43.09658564
Point	-75.26666571	43.09645635
Point	-75.26639477	43.0961861
Point	-75.26626604	43.0963369
Point	-75.26615609	43.0964368
Point	-75.26606222	43.09657586
Point	-75.2659281	43.09672667
Point	-75.26623119	43.09566703
Point	-75.26612169	43.09580866
Point	-75.26601703	43.09594378
Point	-75.26590438	43.09604756
Point	-75.26597948	43.0955834
Point	-75.26571394	43.09591243
Point	-75.26557452	43.09587524
Point	-75.26546178	43.09579685
Point	-75.26531158	43.09575769
Point	-75.26571933	43.09546782
Point	-75.26537869	43.09534246
Point	-75.26506482	43.0952034
Point	-75.26518555	43.09568717
Point	-75.26504344	43.09565975
Point	-75.26490393	43.09557363
Point	-75.26476442	43.09551682
Point	-75.26464647	43.0954463
Point	-75.26491201	43.0951153
Point	-75.26450463	43.0953973
Point	-75.26477556	43.09505843
Point	-75.26430889	43.09532088
Point	-75.26464683	43.09499382
Point	-75.2645234	43.09495662
Point	-75.26426056	43.09490178
Point	-75.26402457	43.0951975
Point	-75.26384482	43.09509956
Point	-75.26372947	43.09504472
Point	-75.26410766	43.09478036
Point	-75.26397085	43.09473136
Point	-75.26374286	43.09457078
Point	-75.26366515	43.09466872
Point	-75.26352295	43.09483127
Point	-75.26339701	43.09495131
Point	-75.26646152	43.09741043
Point	-75.26626578	43.09769445
Point	-75.26597068	43.09798818
Point	-75.26581509	43.09825259
Point	-75.26559249	43.09856789
Point	-75.26537114	43.09841578
Point	-75.2648388	43.09820752
Point	-75.26459742	43.09808808
Point	-75.26502924	43.09785109
Point	-75.26538327	43.09804695
Point	-75.26566489	43.09813117
Point	-75.26572391	43.09784131
Point	-75.26548792	43.09773945
Point	-75.26518483	43.09764348
Point	-75.26578024	43.09747897
Point	-75.26618529	43.09729295
Point	-75.26593582	43.09716956
Point	-75.26543429	43.09728508
Point	-75.26564351	43.09707163
Point	-75.26530548	43.0969247
Point	-75.26508036	43.09717901
Point	-75.26519301	43.09703214
Point	-75.26497579	43.09715159
Point	-75.26519031	43.0968696
Point	-75.26472364	43.09703214
Point	-75.26504011	43.09680492
Point	-75.265421	43.09657186
Point	-75.26524664	43.09642106
Point	-75.26538075	43.09618406
Point	-75.26521987	43.09608613
Point	-75.26505889	43.09641522
Point	-75.264731	43.09630004
Point	-75.26487653	43.09594516
Point	-75.26508575	43.09604113
Point	-75.2646003	43.09662086
Point	-75.2646003	43.09698124
Point	-75.26447903	43.09691781
Point	-75.26435084	43.0968696
Point	-75.26442863	43.09654641
Point	-75.26446618	43.09617822
Point	-75.2646807	43.0958629
Point	-75.26428643	43.0960881
Point	-75.26455197	43.09580216
Point	-75.26443133	43.09572771
Point	-75.26426639	43.09568921
Point	-75.264155	43.09603326
Point	-75.26402897	43.09598039
Point	-75.26416039	43.09560826
Point	-75.26390824	43.09591774
Point	-75.26402897	43.09556123
Point	-75.26354343	43.09577081
Point	-75.26390024	43.09549078
Point	-75.26362239	43.09538333
Point	-75.26349366	43.09533243
Point	-75.26317988	43.09520123
Point	-75.26337293	43.09526781
Point	-75.26311278	43.0952913
Point	-75.26301351	43.09540885
Point	-75.26291434	43.09551065
Point	-75.26337832	43.09568888
Point	-75.26325768	43.09563207
Point	-75.2643096	43.09648908
Point	-75.26407892	43.09676327
Point	-75.26395234	43.09670259
Point	-75.26404676	43.09637744
Point	-75.26382406	43.09665359
Point	-75.26369264	43.09660072
Point	-75.26356391	43.09654589
Point	-75.26391533	43.0963226
Point	-75.26378921	43.09626192
Point	-75.26366318	43.09620899
Point	-75.26331445	43.09642644
Point	-75.26352636	43.09614831
Point	-75.26317234	43.0963657
Point	-75.26339763	43.09609734
Point	-75.26327421	43.09604251
Point	-75.26305699	43.09631086
Point	-75.26292287	43.09625208
Point	-75.26306238	43.09595048
Point	-75.26280753	43.09619528
Point	-75.26252052	43.09607976
Point	-75.26269488	43.09592699
Point	-75.26482658	43.09747176
Point	-75.2646657	43.09769898
Point	-75.26448325	43.09765785
Point	-75.26466839	43.09736995
Point	-75.26433844	43.09759521
Point	-75.26418285	43.09750311
Point	-75.26438407	43.09725044
Point	-75.26426604	43.09717212
Point	-75.26412653	43.09713099
Point	-75.26390931	43.09741305
Point	-75.26400849	43.09708009
Point	-75.26386907	43.09702329
Point	-75.26360892	43.09690384
Point	-75.26334868	43.0968
