occupation	latitude	longitude	zipcode
Jorgensen_William_DO	A	43.094177	-75.241832
Cliff's_Local_Market	C	43.116328	-75.211521
Cavo_Builders'_Supplies	C	43.089527	-75.210899
Avramidis_Lee_MD	A	43.096748	-75.276156
Home_Pro_Realty	C	43.096508	-75.212871
Shah_Paru_DDS	A	43.096759	-75.276128
View's_Valley_Paving	C	43.092565	-75.228721
Fairfield_Inn_&_Suites_by_Marriott	B	43.107491	-75.222421
A_&_P_Master_Images	C	43.106111	-75.230338
Max_Christopher_C	A	43.091068	-75.258076
O'Scugnizzo_Pizzeria	B	43.098775	-75.220374
Center_For_Family_Life_&_Recovery	A	43.10299	-75.238994
Sunglass_Hut	A	43.125554	-75.224675
Salon_One	B	43.095973	-75.24065
Pleeter_Restaurant_Hoods_Venti	B	43.104419	-75.230775
Mohawk_Valley_Central_Patient_Scheduling	A	43.090874	-75.257925
Stewart's_Shops	C	43.100592	-75.239275
Quality_Auto_Sales	C	43.111934	-75.267605
Dr_Uniforms	C	43.108914	-75.250256
72_Tavern_&_Grill	B	43.105246	-75.234006
Rosas_Trattoria_Italian_Deli_Bakery	B	43.077146	-75.28073
Star_Bakery	E	43.095528	-75.203739
Parkway_Senior_Center	B	43.084742	-75.249471
St_Joseph_Nursing_Home	B	43.079348	-75.274358
United_Way	B	43.102349	-75.233019
Mark_P_Hobaica_DPM	A	43.081332	-75.270856
Puff_N_Stuff	C	43.096178	-75.241297
Genesee_Nails	B	43.100075	-75.233452
Boost_Mobile	C	43.091308	-75.222722
Neurodevelopmental_Health_Services	A	43.081548	-75.289482
Adirondack_Community_Physicians	A	43.117154	-75.213326
Lenox_Cafe	B	43.098886	-75.253476
Lavoda_Home_Furniture	C	43.09923	-75.209719
Rainbow_Shops	C	43.090877	-75.223812
Pharmacy	C	43.086622	-75.260113
Thomas_James_W_DDS	A	43.115603	-75.208832
Western_Union	C	43.088618	-75.258563
Sacred_Heart_Schl	A	43.1035	-75.267301
Luna_Mexican_Bar_and_Grill	B	43.103837	-75.243245
Dunkin'	B	43.096161	-75.24285
Carbone_Buick_GMC_Cadillac_Opens_in_New_Window	C	43.137678	-75.216054
American_Fireworks_Display	D	43.096819	-75.217415
Children's_Therapy_Network	A	43.08665	-75.25724
Upstate_Cerebral_Palsy_Inc	A	43.079791	-75.21092
Ridgewood_Market_&_Deli	C	43.074472	-75.267472
Hawaiian_Holiday_Tanning_Salon	B	43.089813	-75.212051
The_Pines_at_Utica_Center_for_Nursing_and_Rehabilitation	B	43.08676	-75.254792
Mercurios_Automotive_Utica	C	43.084829	-75.280646
State_Farm	C	43.11796	-75.210063
Rodriguez_Multiservice	C	43.096466	-75.241818
Mohawk_Valley_Endocrinology	A	43.08163	-75.270392
Good_Friend_Chinese_Restaurant	B	43.11392	-75.207018
Utica_Hydra_Matic_Service	D	43.098838	-75.224804
Roma_Sausage	C	43.090936	-75.193887
Mauro's_Glass	C	43.097179	-75.237088
Hope_Chapel_A_M_E_Zion_Church	A	43.091452	-75.217644
Hummus_&_Tabbouleh	B	43.098687	-75.218266
Utica_Safe_Schools_Healthy_Student_Partnerships_Inc	A	43.118982	-75.197504
Five_Guys	B	43.128523	-75.224614
A_Dogs_Day_Out	B	43.126311	-75.23661
Schuyler_Tax_Services	A	43.092036	-75.137013
Trackside_Restaurant_&_Banquets	B	43.104205	-75.223289
West_Schuyler_United_Methodist_Church	A	43.111414	-75.151066
Antiques_&_Such	C	43.101377	-75.228719
Cotrupe_Produce_&_Sons	C	43.09111	-75.2062
St_Mary_of_Mount_Carmel_Church	A	43.099823	-75.217831
Christian_Heritage_School	A	43.10182	-75.155908
Advanced_Group	A	43.092996	-75.246911
Thomas_Jefferson_Elementary_School	A	43.123762	-75.218047
Moriah_Olivet_United_Presbyterian_Church	A	43.100786	-75.234107
Chanantry_Plaza	C	43.084767	-75.282375
Sunny_Side_Up_Cafe	B	43.094052	-75.203118
Taylor_Toby_Board_Certifd_Intrnl_Mdcne_&_Pdtrcs_MD	A	43.081154	-75.272821
John_Garret_Martial_Art_Academy	B	43.104703	-75.269487
Deerfield_Fire_Arms_Trng_Facility	B	43.178284	-75.187454
K_Music	C	43.088873	-75.222127
Spano_Brothers	E	43.093911	-75.200067
GIN&WEARR_Haberdashery	C	43.108472	-75.251452
Mohawk_Valley_Association_of_Realtors	C	43.091926	-75.281282
Saranac_Brewery	B	43.10332	-75.244695
Commerical_Woodengoods	C	43.107816	-75.231987
Faxton_St_Lukes_Healthcare	A	43.091289	-75.258286
Subway	B	43.080907	-75.20672
Mohawk_Valley_Psychiatric_Center	A	43.103005	-75.260126
Triangle_Coffee_Shop	B	43.100518	-75.233455
T_W_Video_Productions	C	43.08379	-75.277225
Upstate_Painting	D	43.089938	-75.265094
Cornerstone_Community_Church	A	43.096757	-75.24257
Total_Wireless_Store	C	43.08908	-75.223283
James_C_Brummett_DMD_PC	A	43.087026	-75.223971
North_Utica_Senior_Citizens_Recreation_Center_Inc	A	43.118237	-75.213719
The_Sanctuary	B	43.102872	-75.243508
Mvcaa_Inc_Mlk_Head_Start	A	43.091303	-75.235219
Utica_Public_Library	B	43.097111	-75.238804
Bass_Pro_Shops	C	43.125236	-75.225889
St_Vladimir_Ukrainian_Catholic_Church	A	43.098125	-75.238672
New_York_State_Dept_of_Motor_Vehicles	A	43.104131	-75.223198
Cook_Brothers_Truck_Parts	C	43.105162	-75.215264
Sperling_Steven_R_MD	A	43.086607	-75.262924
Ahn_Douglas_MD	A	43.091693	-75.288275
Desai_Anand_I_PC	A	43.096874	-75.276608
Pawn	C	43.102255	-75.241454
Masonic_Care_Community_Of_New_York	A	43.088354	-75.191127
B_J's_Wholesale_Club	C	43.126923	-75.221978
Fort_Schuyler_Trading_Co	C	43.114241	-75.208946
Kelberman_Michael_W_MD	A	43.083157	-75.26781
Culver_Stephen_J_MD	A	43.074825	-75.283924
Wingstop	B	43.107237	-75.220662
GPO_Federal_Credit_Union	C	43.075897	-75.281567
Parkway_Pizza	B	43.081236	-75.205712
Joel's_Spanish_Food	B	43.09574	-75.241848
Utica_City_Parking_Garage	B	43.101398	-75.233352
Mohawk_Deli_&_Grill	B	43.089089	-75.223295
Dino's_Sausage	C	43.099493	-75.216266
Court_Street_Children's_Center	A	43.100735	-75.238145
J_&_L_Auto_Svce	D	43.108802	-75.268484
Oneida_County_DMV_Office	A	43.104129	-75.223237
Faxton_St_Luke's_Hearing_and_Speech_Center	A	43.091014	-75.258803
Finger_Bullet	B	43.091504	-75.259515
Cafe_Domenico	B	43.086072	-75.261785
Dari_Del_Dairy	C	43.091385	-75.19641
Strategic_Financial_Services	A	43.090133	-75.283609
Focal_Point_Optical	A	43.077571	-75.281103
CNYHHN_Inc	B	43.0925	-75.207902
Smith_Robert_S_MD	A	43.093408	-75.270313
Soul_One_12	B	43.101576	-75.230054
Lansing_Body_Works	D	43.090996	-75.205377
ADHD_&_Autism_Psychological_Services_And_Advocacy	A	43.092108	-75.284613
JP3_Performance_Studio	B	43.101555	-75.230074
Carbone_Pontiac_At_Hornell	C	43.136836	-75.217442
St_Elizabeth_Childrens_Health_Center	A	43.083962	-75.268141
CNY_HealthHome_Network	B	43.092516	-75.207896
Munson_Williams_Proctor_Arts_Institute	C	43.097592	-75.240205
What_The_Truck	B	43.109565	-75.212797
Bargain_Price_Auto_Glass	C	43.101172	-75.232523
Delmedico_Spinal_Health_&_Wellness_Center	A	43.076077	-75.281277
Patil_Mangala	A	43.117122	-75.213293
Redeemer_Church	A	43.112118	-75.186806
Acropolis_Greek_Restaurant	B	43.083319	-75.231656
Maugeri's_Auto_Repair	D	43.097695	-75.216854
New_York_State	B	43.10029	-75.260619
Cars_Collision	D	43.102216	-75.222728
Baumgarten_Paul_H_Dr_DPM	A	43.097893	-75.239277
Liang_John_Dntst	A	43.074734	-75.284129
Affordable_Mattress_&_Furniture	C	43.09894	-75.248204
Duda_Woodworking_&_Chair_Hospital	C	43.105583	-75.241174
The_UPS_Store	C	43.110104	-75.217677
Griffin's_Pub	B	43.100765	-75.233165
Monopoli_Michael	D	43.094921	-75.242531
Cycle_Motive	C	43.092318	-75.182335
Mi_Casa_Restaurant	B	43.095335	-75.243117
A_Soothing_Touch_Laser_Hair_Removal	B	43.1128	-75.263823
Oneida_County_Farmers_Market	C	43.104148	-75.222328
GNC_(General_Nutrition_Centers)	A	43.128628	-75.224445
Trattoria_Calabria	B	43.089637	-75.198717
SmartStyle_Family_Hair_Salons	B	43.125556	-75.224699
Dunkin'	B	43.126504	-75.237043
Smith_Packing_Regional_Meat	B	43.104579	-75.229786
St_Peter_&_Paul_Ukrainian_Orthodox_Church	A	43.104363	-75.243617
Biogenic_Dental	A	43.098546	-75.237638
Pho_Mekong_House_of_Noodles	B	43.099718	-75.227167
Mark_S_Lewandrowski_Ameriprise_Financial_Services	A	43.081341	-75.272393
First_Source_Federal_Credit_Union	C	43.11445	-75.209761
Towpath_Vision_Care	A	43.081968	-75.271209
FootDoctors	A	43.094431	-75.286639
STS_Tire_&_Auto_Centers	D	43.086437	-75.262566
Rite_Aid	A	43.11445	-75.206408
Byrne_Dairy	C	43.1158	-75.209748
Hair_Reflexion_Beauty_Salon	B	43.092054	-75.206543
Neighborhood_Center_Rome_Location	A	43.097588	-75.22022
Bliss_Boutique_Shop	C	43.083626	-75.277532
Applebee's	B	43.12462	-75.227408
