occupation	latitude	longitude	zipcode
Hummel's_Office_Plus	C	43.025447	-74.986796	13350

Haritatos_J_J_DDS	A	43.216901	-75.458389	13440

Aspen_Dental	A	43.210662	-75.457997	13440

Archer's_Auto_Body	D	42.946567	-75.047002	13357

BHA_Rabbitry	B	43.002029	-75.193685	13340

Marcy_Veterinary_Clinic	A	43.140022	-75.277036	13403

American_Job_Centers	B	43.027765	-74.988998	13350

Enterprise_Rent-A-Car	C	43.026023	-74.985359	13350

M&T_Bank	C	43.077332	-75.292579	13413

Central_Oneida_County_Volunteer_Ambulance_Corps	B	43.093376	-75.39131	13323

H&R_Block	A	43.080005	-75.643126	13421

Hannoush_Jewelers	C	43.082754	-75.315607	13413

The_coffee_forks	B	43.094593	-75.651927	13421

Moza_Shuban_K_MD_PC	A	43.231133	-75.442308	13440

The_Hair_Connection	B	43.083887	-75.34095	13323

A'Peel_Day_Spa	B	43.047664	-75.378092	13323

Allstate_Insurance	C	43.040434	-75.390852	13323

iFix_Enterprises	C	43.078371	-75.647813	13421

Effleurage_Day_Spa	B	43.07443	-75.288696	13413

Rome_Savings_Bank	C	43.228548	-75.491091	13440

Family_Dollar_Stores	C	43.23053	-75.437906	13440

Clinton_Collision	C	43.053827	-75.376145	13323

Suzuki	C	42.999283	-75.04926	13357

Columbia_Litchfield_Fire_District	A	42.931057	-75.113866	13357

Big_Lots_Stores	C	43.225327	-75.48423	13440

Talbots	C	43.080438	-75.321041	13413

Pilates_Contrology_Studio	B	43.044276	-74.857328	13365

MasterCuts	B	43.073369	-75.288596	13413

Fieldstone_Collectibles_&_Gifts	C	43.0855	-75.354162	13323

Gurley_&_Fleet	D	43.175321	-75.420624	13440

Dollar_Tree	C	43.053201	-75.277099	13413

Western_Union	C	43.052931	-75.273075	13413

Hannaford_Food_And_Drug	A	43.029664	-74.98127	13350

State_Farm	C	43.076627	-75.688146	13421

Wild_Things	C	43.096943	-75.29758	13417

Weight_Watchers	B	43.074499	-75.288482	13413

Collins_Insurance_Brokerage	C	43.09963	-75.281195	13413

Kings_Buffet	B	43.225052	-75.483914	13440

Delta_Lake_Bible_Conference_Center_Inc	A	43.294555	-75.461074	13440

Amtrak	E	43.199547	-75.449886	13440

Mobil	C	43.017167	-74.803621	13365

Burger_King	B	43.024817	-74.986407	13350

Arby's	B	43.079084	-75.648315	13421

Tasha's_Techniques	B	43.052432	-75.273051	13413

Sleepy_Hollow_Golf_Course	B	43.279125	-75.497321	13440

Cooperative_Magnetic_Imaging	A	43.015891	-75.037938	13357

AutoZone	C	43.220354	-75.447971	13440

Little_Falls_Historical_Museum	B	43.042777	-74.859143	13365

Star_Sports_Sangertown_Mall	C	43.081708	-75.315728	13413

The_Knight_Spot	B	43.035155	-75.066767	13340

Evolve_Massage_and_Wellness	A	43.055525	-75.279475	13413

Dollar_Tree	C	43.086633	-75.31699	13413

Fratello's_Pizzeria	B	43.037506	-75.069516	13340

Body_Siense	B	43.042571	-74.861629	13365

Pier_1_Imports	C	43.095561	-75.307109	13413

Culture_Cafe	B	43.097465	-75.653045	13421

Rose_Evans_MetLife_Auto_&amp_Home	C	43.072998	-75.343453	13413

Skaters_Edge	C	43.0724	-75.286284	13413

LaRoma's_Pizzeria_&_Restaurant	B	43.214442	-75.446657	13440

Killino's_Riverside_Diner	B	43.130607	-75.247708	13403

Woodforest_National_Bank	C	43.237288	-75.501874	13440

CNY_Hobby	C	43.023333	-74.983028	13350

Smart_Fitness_Physical_Therapy	A	43.083918	-75.293641	13413

Journeys_Shoes	C	43.082623	-75.315725	13413

St_John's_The_Evangelists_Church	A	43.067009	-75.285723	13413

Marriott_Russell_G_Dr	A	43.218208	-75.459618	13440

Sammy's_Cafe	B	43.073502	-75.28798	13413

First_Baptist_Church	A	43.043017	-74.856922	13365

Clinton_Blooms	C	43.093165	-75.651026	13421

Cellular_Sales	C	43.077101	-75.689496	13421

Western_Union	C	43.097792	-75.303486	13413

First_United_Methodist_Church	A	43.216283	-75.45771	13440

Best_Food_Chinese_and_Pizza	B	43.208974	-75.45322	13440

Redeemer_Church	A	43.212567	-75.459139	13440

Five_Guys	B	43.096143	-75.305021	13413

H&R_Block	A	43.088233	-75.311152	13413

Cpj's_Restaurant_&_Pub	B	43.221416	-75.423409	13440

Compufix	C	43.019246	-75.038366	13357

Western_Union	C	43.260698	-75.461509	13440

Salons_at_154	B	43.110944	-75.286182	13417

Butler_Sheehan_Academy_of_Irish_Dance	A	43.236118	-75.446884	13440

Mohawk_Valley_1st_Choice_Realty	C	43.073145	-75.289877	13413

Grande's_Pizzeria	B	43.005151	-75.256951	13456

H&R_Block	A	43.028159	-74.977923	13350

Oneida_Healthcare	B	43.076837	-75.654598	13421

Megamotion_Physical_Therapy_Clinic	A	43.035547	-75.392251	13323

Palumbo_Paul_DO	A	43.091523	-75.276715	13413

AutoZone	C	43.082909	-75.322659	13413

Sunoco	C	43.052847	-75.273182	13413

T_Mobile_Authorized_Retailer	C	43.081835	-75.321968	13413

Supercuts	B	43.231703	-75.436971	13440

Nails_by_Shelley	B	43.214874	-75.457332	13440

Care_Net_Pregnancy_Center_of_Cny	A	43.023736	-74.991872	13350

Bailey's_Home_Health_Services_&_Alternative_Pain_Solutions	B	43.062419	-75.602907	13421

Greenie's_Market	C	43.016672	-75.038465	13357

Runnings	C	43.232345	-75.492691	13440

Dollar_General	C	43.025451	-74.984762	13350

Oxford_Medical_Imaging_PC	A	43.019841	-75.045378	13357

Tony's_Coins	C	43.021097	-75.060873	13357

Insure_One_Insurance_Agency	C	43.044346	-74.85964	13365

East_Schuyler_Miller_Cemetery	B	43.01449	-75.039568	13340

Pietrka_Park	B	43.097172	-75.299549	13417

LOFT	C	43.090338	-75.316722	13413

Bellamy_Elementary_School	A	43.206367	-75.421648	13440

Fort_Stanwix_Park	B	43.217001	-75.453681	13440

Haupt_Cemetery	B	42.975865	-74.825902	13365

Holy_Trinity_Lutheran_Church	A	43.046002	-74.860104	13365

Spectrum_Paint_&_Decorating_Center	C	43.223209	-75.483869	13440

Bethania_Cemetery	B	43.191575	-75.263925	13403

Weight_Watchers	B	43.22081	-75.446617	13440

Wakefield_Furniture	C	43.026357	-74.986297	13350

Visionworks	A	43.228419	-75.492705	13440

Freedom_Plaza	C	43.210116	-75.462345	13440

Clintonblooms	C	43.048403	-75.38002	13323

Fastrac	C	43.229569	-75.492535	13440

G_&_S_Auto	D	43.040143	-75.072333	13340

John_E_Joy_Elementary_School	A	43.258135	-75.460202	13440

Iron_Kettle_Coffee_Shoppe	C	43.209337	-75.45394	13440

Sweet_Temptations	B	43.097225	-75.65281	13421

Fox_Powersports	C	43.027433	-74.946038	13350

Citizens_Bank	C	43.027875	-74.990152	13350

Valley_Health_Services_Inc	B	43.025591	-74.999203	13350

Backbreak_Acres_Outdoor_Power_Equipment	C	43.009938	-75.01887	13357

Max_L_Cowen's_Student_Stores	C	43.135114	-75.262599	13403

Fashion_Nails	B	43.209875	-75.453576	13440

Russell_Park	B	43.006123	-75.033038	13357

Polaris	C	43.284679	-75.46962	13440

Utica_Rome_Korean_Church	A	43.235933	-75.45477	13440

M&T_Bank	C	43.02856	-74.989243	13350

Van_Allen_Nursing_Home	B	43.054444	-74.851685	13365

CITGO	C	43.214225	-75.464014	13440

Burger_King	B	43.017047	-74.802798	13365

Rd's_Vintage_And_Variety	C	43.232094	-75.442403	13440

GameStop	C	43.076181	-75.641646	13421

Liberty_Auto	D	43.075348	-75.701371	13421

Ed's_Pizza_Place	B	43.043748	-74.858926	13365

Velvet_Dog	B	43.02475	-74.984954	13350

Business_Machines_&_Equipment	C	43.085301	-75.330953	13413

Imex_Furniture	C	43.09907	-75.302136	13417

Mark's_Auto_Sales	C	43.282402	-75.470785	13440

Friendship_Baptist_Church	A	43.217584	-75.558983	13440

Gary_Casabs'deli_Cafe	C	43.073539	-75.288254	13413

Mattress_Express_New_Hartford	C	43.086381	-75.316789	13413

Eastern_Park	B	43.044996	-74.85271	13365

Erie_Boulevard_Hydropower_LP_Beardslee_Plant	E	43.017047	-74.802652	13365

Custom_Auto_Cleaning	D	43.020415	-74.986746	13350

The_Home_Depot	C	43.089991	-75.280469	13413

Day_&amp_Read_Insurance_Services	C	43.028118	-74.978021	13350

Oneida_Health_Rehabilitation_And_Extended_Care	B	43.076882	-75.65459	13421

Kimchi_Furji_Sushi	B	43.076502	-75.64405	13421

Charlie's_Pizza	B	43.053369	-75.277206	13413

Oneida_Herkimer_Madison_Boces	A	43.093781	-75.321368	13413

National_Gold_Buyers_&_Pawn	A	43.213373	-75.465264	13440

Maple_Crest_Golf_Course_&_Range	B	43.034393	-75.070495	13340

White_Rose_Bakery	E	43.043611	-74.859334	13365

Circle_K	C	43.283105	-75.471446	13440

Marcy_Elementary_School	A	43.137962	-75.260153	13403

Planned_Parenthood	A	43.077508	-75.651637	13421

Fisher_Auto_Parts	C	43.04976	-75.377781	13323

Ilion_Village_Police_Department_Ilion_New_York	A	43.014314	-75.037379	13357

First_United_Methodist_Church_Oneida	A	43.087666	-75.648097	13421

Rome_Auto_Electric	D	43.214038	-75.465196	13440

Slocum_Dickson_Medical_Group	A	43.015867	-75.037945	13357

Schulman_&_Rozanski_Dentistry	A	43.07229	-75.289165	13413

NBT_Bank	C	43.079249	-75.642652	13421

Krenichyn's_Plumbing_&_Heating	A	43.044383	-74.986634	13350

Herkimer_Eyecare_Center	A	43.027531	-74.979534	13350

Price_Chopper_New_England	C	43.043567	-74.857684	13365

Papa_Rick's_Snack_Shack	B	43.239905	-75.438083	13440

Monai_Interiors	D	43.091621	-75.315673	13413

Rome_Memorial_Hospital_Inc_R_H_C_F	B	43.228747	-75.442629	13440

Indian_Castle_Church_Cemetery	B	43.002698	-74.777583	13365

Mavis_Discount_Tire	D	43.078369	-75.648129	13421

Pecoraro_Dairy_Prods	C	43.219045	-75.478843	13440

Agway	C	43.050316	-75.379381	13323

Bodily_Charm_Tattoo_&_Piercing	B	43.077275	-75.293685	13413

Plato's_Closet	C	43.083798	-75.327609	13413

Shaklee_Wellness_Concepts	A	43.036682	-75.101213	13340

St_Mary's_Roman_Catholic_Church_Of_Clinton	A	43.045418	-75.380777	13323

Gentlemen's_Corner_Barber_Shop	B	43.077239	-75.294295	13413

First_United_Methodist_Church	A	43.025481	-74.988828	13350

Jerusalem_Hill_Cemetery	B	43.008473	-75.037486	13357

Hurd_Douglas_H_DDS	A	43.058479	-75.310663	13413

New_Hartford_Barber_Shop	B	43.07416	-75.287759	13413

Bremer_Hearing_&amp_Audiology	B	43.2202	-75.424109	13440

Black_River_Ale_House	B	43.233935	-75.437933	13440

ULTA_Beauty	A	43.093275	-75.309435	13413

LabCorp	A	43.23111	-75.442292	13440

Madison_House_Restaurant	B	43.096133	-75.650892	13421

ScreenSavers	D	43.08261	-75.323993	13413

V_Ja's_Lounge	B	43.034747	-75.065588	13340

Oneida_American_Legion	C	43.103148	-75.659048	13421

Crescent_Field	B	43.219611	-75.436609	13440

Dean_Grosack_Nancy_DPM	A	43.091672	-75.650343	13421

Moe's_Southwest_Grill	B	43.235792	-75.436704	13440

Enea_Family_Funeral_Home	B	43.026596	-75.056718	13357

My_Favorite_Muffin_&_Bagel_Cafe	B	43.13779	-75.276776	13403

Rome_General_Lumber	C	43.214285	-75.470671	13440

SavOn	C	43.093996	-75.651547	13421

Poonati_Apparao_Dr	A	43.217076	-75.455215	13440

Skenandoa_Club	A	43.070782	-75.415878	13323

The_Vitamin_Shoppe	A	43.086406	-75.314266	13413

Oasis	B	43.078464	-75.114383	13340

Sally_Beauty_Supply	A	43.090437	-75.316743	13413

CITGO	C	43.027844	-74.978894	13350

Dollar_General	C	43.04933	-75.380178	13323

Beauty_Plus_Salon	B	43.081601	-75.315308	13413

Western_Union	C	43.229526	-75.439496	13440

Westmoreland_Antique_Center	C	43.127059	-75.409734	13440

Central_Towing_and_Repair	C	43.034117	-74.989432	13350

Save-A-Lot	C	43.023288	-74.989241	13350

Star_of_India	B	43.048344	-75.379268	13323

Brad_Bennett_PHD	A	43.08102	-75.400205	13323

Ampersand_Mount_Ida_Hydro_Forestport_Plant	E	43.442492	-75.215962	13421

The_Dessert_Booth	E	43.050128	-75.378774	13323

Fall_Beverage	C	43.106672	-75.291896	13417

Mohawk_Vly_Community_Action_Agncy_Inc_Hd_Strt_Ctrs	C	43.013325	-75.037424	13357

Campbell_Dean_Funeral_Home_Inc	B	43.091942	-75.650513	13421

Melfe's_Shoe_Service	C	43.016796	-75.034244	13357

At_Home	C	43.089255	-75.314092	13413

Mohawk_Acres_Plaza	C	43.231871	-75.436569	13440

Moreland_Park	B	43.047009	-74.845558	13365

Veils_of_The_Valley	A	43.217336	-75.475242	13440

Balloons_And_Blossoms	C	43.093161	-75.651034	13421

Fort_Stanwix_National_Monument	B	43.210878	-75.454959	13440

CrossFit	B	43.052926	-75.277025	13413

Price_Chopper_New_England	C	43.085984	-75.319631	13413

Charlie's_Place	B	43.084194	-75.344713	13323

Rome_City_Police_Department_Rome_New_York	A	43.213618	-75.45557	13440

Knotty_Pine_Diner	B	43.07576	-75.704796	13421

Mohawk_Valley_Cat_Care	A	43.011766	-75.39737	13323

Dollar_General	C	43.042265	-74.858614	13365

Charles_D_Stahl_Sales_&_Service	C	43.02788	-74.770014	13365

All_Saints_Parish_Polish_National_Catholic_Church	A	43.239158	-75.450969	13440

St_Patrick's_School	A	43.089727	-75.647413	13421

Standard_Poodles_For_Sale	B	43.227944	-75.346035	13440

Redco_Foods	B	43.03756	-74.865083	13365

Just_Breathe_Yoga_Studio	B	43.238946	-75.43699	13440

Clinton_Pet_Vet	A	43.039885	-75.391537	13323

Erie_Insurance	C	43.063635	-75.260564	13413

Auntie_Anne's	B	43.017059	-74.803092	13365

TQ_Nails_&_Spa	B	43.086368	-75.316884	13413

Dunkin'	B	43.0147	-75.036779	13357
