occupation	latitude	longitude	zipcode
Harmon_Field	B	43.093599	-75.663634	13421

St_Joseph's_Church	A	43.09871	-75.656318	13421

Mohawk_Missionary_Baptist_Church	A	43.189187	-75.456814	13440

New_York_&_Company	C	43.082691	-75.318052	13413

Michael_T's_Restaurant	B	43.08274	-75.328514	13413

Clinton_Early_Learning_Center	A	43.047192	-75.38363	13323

Doty's_Golf_Course	B	43.003904	-75.052896	13357

Coolnails_Salon	B	43.082652	-75.318022	13413

Tuesday_Morning	C	43.077127	-75.296431	13413

Oneida_Seventh_Day_Adventist_Church	A	43.090195	-75.658161	13421

Beacon_Golf_Center	B	43.133117	-75.259834	13403

Nice_N_Easy	C	43.096464	-75.623359	13421

II_Caffe_Espresso_Bar_And_Pastry_Shop	B	43.043562	-74.859555	13365

Unwind_with_Audrey	B	43.0553	-75.271607	13413

The_Savoy_Restaurant	B	43.208653	-75.452364	13440

AAA_Promotional_Signs	C	43.208724	-75.47484	13440

Schuss_Ski_&_Bicycle_Shop	C	43.086422	-75.314246	13413

Family_Video	C	43.215792	-75.452295	13440

Kirkland_Automotive_Svce	D	43.07742	-75.378188	13323

Amankwah_Kwaku_MD	A	43.093094	-75.279197	13413

Gardner's_Farm_to_Table	B	43.213752	-75.464407	13440

Kay_Jewelers	C	43.082282	-75.315262	13413

Bella_Vista_Restaurant	B	43.000171	-74.87883	13365

Rome_Taberg_Plaza	C	43.237893	-75.502608	13440

Five_Below	C	43.095511	-75.306899	13413

GPO_Federal_Credit_Union	C	43.01491	-75.035818	13357

Frankfort_Free_Library	B	43.0362	-75.070553	13340

Denny's	B	43.018458	-74.99195	13350

Sweet_Frog	B	43.092231	-75.315463	13413

Sauquoit_Valley_United_Methodist_Church	A	43.005094	-75.248904	13456

Cliff's_Local_Market	C	43.080288	-75.391623	13323

Marshall_Agency	C	42.999627	-75.048909	13357

Hearing_Health	A	43.237207	-75.501833	13440

IHOP	B	43.087664	-75.280534	13413

Sherwin-Williams	C	43.231758	-75.439499	13440

Club_Meadow_Dog_Daycare_and_Boarding	B	43.104168	-75.661152	13421

Hannoush_Jewelers	C	43.082754	-75.315607	13413

Coleman's_Collision	D	43.244904	-75.525704	13440

Vitality_Fitness_and_Wellness	A	43.277539	-75.470225	13440

The_Clover	B	43.207637	-75.450625	13440

Sinha_Nalin	A	43.055178	-75.279574	13413

Bhatt_Shiv_S_PC	A	43.23112	-75.443371	13440

Mvcaa_Inc_Little_Falls_Head_Start	A	43.042551	-74.865497	13365

Woolner_Family_Eye_Care	A	43.015134	-75.03627	13357

Dunkin'	B	43.09387	-75.277596	13413

Curves	B	43.027469	-74.988715	13350

Tallman's_Tire_&_Auto_Repair	D	43.236112	-75.437664	13440

Butler_Sheehan_Academy_of_Irish_Dance	B	43.236118	-75.446884	13440

Bed_Bath_&_Beyond	C	43.095405	-75.30659	13413

Majestic_Fireworks	D	43.048044	-75.379952	13323

Scalise_Tae_Kwon_DO	B	43.097305	-75.296859	13417

NBT_Bank	C	43.220815	-75.447393	13440

Miners_Table	B	43.127504	-74.976955	13350

Perfect_Eyebrow_Threading	A	43.081543	-75.31502	13413

Oneida_Healthcare_Ctr_Physical_Therapy_Outptnt_Dpt	A	43.092397	-75.651707	13421

Remington_Firearms_Museum_And_Country_Store	B	43.013166	-75.03322	13357

Illustrated_Studios	B	43.22179	-75.481891	13440

Byrne_Dairy	C	43.078313	-75.663734	13421

Paris_Hill_Cat_Hospital	A	43.000144	-75.31464	13456

Whitesboro_High_School	A	43.151275	-75.28822	13403

Pizza_Boys	B	43.095286	-75.298237	13417

Cliff's_Local_Market	C	43.226602	-75.489815	13440

Rite_Aid	A	43.233033	-75.438603	13440

Peck_Jeffrey_A_DDS	A	43.215573	-75.457632	13440

Community_Recovery_Center_of_Rome	B	43.212799	-75.461112	13440

Custymize_Computer_Room	C	43.040369	-75.072785	13340

Silverado_Inn	B	43.019126	-74.983711	13350

Star_Sports_Sangertown_Mall	C	43.081708	-75.315728	13413

Douglas_Ahn_MD	A	43.055506	-75.279913	13413

Cliff's_Local_Market	C	43.027891	-74.978736	13350

Finish_Line_Autos	D	43.093491	-75.653346	13421

Big_Daddy_Sandwiches_Soups_&_Salads	B	43.215483	-75.452713	13440

CrossFit	B	43.052931	-75.277038	13413

Sirchia	A	43.094492	-75.651023	13421

St_Mary's_Church_Clinton	A	43.046006	-75.379793	13323

Bassin_&_Hession_Orthodontics	A	43.085357	-75.668566	13421

Victoria's_Secret	C	43.082976	-75.324776	13413

Al's_Cycle_Parts	C	43.20701	-75.449005	13440

First_Assembly_Of_God_Of_Utica_New_York	A	43.138022	-75.263903	13403

Jobready_Physical_Therapy	A	43.072607	-75.287154	13413

Schillaci_Insurance_Agency	C	43.216135	-75.454031	13440

ALDI	C	43.019234	-75.031181	13357

Pizza_Hut	B	43.08265	-75.327965	13413

Oneida_Dental_Group	A	43.091014	-75.649884	13421

Fashion_Nails	B	43.209741	-75.453632	13440

Russell_Park	B	43.004286	-75.033212	13357

Polaris	C	43.284679	-75.46962	13440

Kannan_Arul	A	43.073167	-75.293498	13413

J_J_Automotive_Services	D	43.004049	-75.260073	13456

Fung_Gordon_MD	A	43.053979	-75.279536	13413

Fatboys_Deli	B	43.082586	-75.323849	13413

Colonial_Manor_Apts	C	43.011663	-75.054696	13357

