category	latitude	longitude
CC	43.090618	-75.281216
R	43.114011	-75.208037
K	43.107842	-75.219935
V	43.099453	-75.244915
SR	43.109009	-75.10086
K	43.094171	-75.214662
M	43.114017	-75.20704
SR	43.109089	-75.248928
WT	43.105674	-75.271131
M	43.091011	-75.27895
ST	43.089527	-75.210899
ER	43.104591	-75.269576
K	43.103448	-75.227648
ST	43.093497	-75.214305
ST	43.086639	-75.261854
ST	43.112937	-75.26601
SR	43.113871	-75.204004
K	43.103837	-75.243245
K	43.096161	-75.24285
SR	43.086437	-75.262566
ST	43.092609	-75.21565
K	43.104299	-75.27011
CC	43.082348	-75.267332
ER	43.098224	-75.231843
M	43.102997	-75.238951
V	43.081494	-75.222577
SR	43.110244	-75.259349
SR	43.07895	-75.255752
K	43.091504	-75.259515
K	43.086101	-75.261734
U	43.092157	-75.196873
K	43.097104	-75.241004
V	43.091084	-75.234056
K	43.099396	-75.232777
MF	43.097994	-75.218235
K	43.094315	-75.228696
ST	43.106247	-75.247517
K	43.12462	-75.227408
M	43.111325	-75.262177
K	43.089191	-75.257147
K	43.104075	-75.223132
K	43.103319	-75.244673
ER	43.127545	-75.223596
R	43.110258	-75.255684
ST	43.109111	-75.25483
CC	43.091728	-75.288318
CC	43.083935	-75.26814
R	43.136875	-75.217637
SR	43.086375	-75.259834
ST	43.104262	-75.239773
SR	43.160834	-75.213538
K	43.101576	-75.230054
SR	43.09872	-75.224439
AS	43.102515	-75.23084
K	43.081124	-75.21734
G	43.08057	-75.206385
R	43.092825	-75.284635
M	43.091547	-75.191087
V	43.086982	-75.247155
P	43.088024	-75.256837
K	43.103773	-75.24243
CC	43.084092	-75.267768
MF	43.09405	-75.203113
CC	43.117122	-75.213293
V	43.112433	-75.18702
V	43.08671	-75.212823
G	43.09599	-75.209526
AS	43.09787	-75.237686
ST	43.093523	-75.202725
M	43.112427	-75.214744
K	43.11392	-75.207018
K	43.099342	-75.232696
M	43.084178	-75.20323
R	43.101154	-75.226013
HH	43.104185	-75.223202
ST	43.097996	-75.21616
R	43.089754	-75.212576
M	43.108245	-75.234508
SR	43.110598	-75.253415
V	43.089958	-75.232095
R	43.086868	-75.264735
ER	43.085257	-75.228916
G	43.09111	-75.2062
ST	43.096925	-75.146027
K	43.099306	-75.236187
K	43.107171	-75.220577
K	43.076789	-75.280312
CC	43.09299	-75.249024
CC	43.0911	-75.258081
V	43.093829	-75.227676
CC	43.075471	-75.282874
ST	43.088873	-75.222127
MF	43.093911	-75.200067
G	43.088516	-75.247955
K	43.101156	-75.232512
ST	43.10105	-75.232546
CC	43.076121	-75.281269
SR	43.090289	-75.215922
K	43.083319	-75.231656
K	43.099411	-75.232734
ST	43.103522	-75.232052
V	43.100497	-75.235491
CC	43.117128	-75.213325
SR	43.092641	-75.136946
ST	43.094128	-75.228155
ST	43.094824	-75.203294
M	43.092379	-75.220588
SR	43.097789	-75.252647
ST	43.107735	-75.24428
K	43.110586	-75.218393
ST	43.088702	-75.186094
K	43.113548	-75.205202
SR	43.074836	-75.285465
ST	43.124585	-75.233612
SR	43.109373	-75.261458
SR	43.097695	-75.216854
MF	43.098718	-75.218582
ER	43.099619	-75.223946
K	43.099709	-75.152464
MF	43.09649	-75.252087
K	43.105095	-75.233529
K	43.09825	-75.15146
ER	43.074527	-75.240097
SR	43.108568	-75.24677
V	43.086612	-75.252299
M	43.104269	-75.270082
CC	43.116008	-75.208971
CC	43.101331	-75.230547
U	43.09918	-75.230206
SR	43.102562	-75.224223
ST	43.11224	-75.26178
U	43.109889	-75.251099
K	43.099541	-75.232975
K	43.098657	-75.218286
CC	43.081584	-75.270406
ST	43.11336	-75.205494
K	43.109155	-75.220199
SR	43.098383	-75.237933
SR	43.094899	-75.215702
V	43.0914	-75.250245
CC	43.086078	-75.265496
SR	43.11764	-75.210101
K	43.09517	-75.219823
K	43.10431	-75.242166
CC	43.081984	-75.266356
K	43.128549	-75.227321
R	43.086883	-75.264725
R	43.084142	-75.265494
SR	43.102154	-75.220108
K	43.111267	-75.214996
ST	43.126361	-75.236315
ST	43.083934	-75.269898
K	43.109335	-75.219693
ER	43.104221	-75.224109
CC	43.08088	-75.288959
SR	43.123446	-75.208466
ST	43.091833	-75.222367
SR	43.077108	-75.280798
CC	43.096732	-75.276128
G	43.100576	-75.233303
CC	43.117141	-75.213295
ST	43.098264	-75.208154
SR	43.091837	-75.195913
ST	43.092336	-75.214798
K	43.112851	-75.21553
SR	43.087075	-75.214927
CC	43.082283	-75.265667
WT	43.113929	-75.207305
ST	43.090886	-75.223831
G	43.086522	-75.259929
SR	43.09259	-75.215708
K	43.095822	-75.249767
V	43.117487	-75.209451
SR	43.098365	-75.228617
K	43.108135	-75.2197
CC	43.090519	-75.281343
V	43.076734	-75.282006
K	43.084207	-75.208514
V	43.0899	-75.25568
X	43.097435	-75.233642
CC	43.098405	-75.237932
SR	43.116912	-75.211493
R	43.104077	-75.227497
CC	43.0887	-75.262346
SR	43.099127	-75.130667
SR	43.09484	-75.256099
K	43.085742	-75.237954
R	43.097913	-75.237733
ST	43.100288	-75.251585
G	43.100565	-75.239189
K	43.101388	-75.227342
ST	43.088206	-75.257077
M	43.106142	-75.230477
SR	43.0872	-75.261434
R	43.074571	-75.284476
SR	43.092782	-75.210763
R	43.11445	-75.209761
ST	43.097905	-75.239271
K	43.081138	-75.206374
M	43.101856	-75.239523
SR	43.087465	-75.223049
MF	43.095521	-75.203745
ST	43.110247	-75.251924
V	43.096161	-75.248663
R	43.116937	-75.210007
ST	43.098904	-75.231511
SR	43.112994	-75.188868
K	43.081269	-75.205705
SR	43.110481	-75.260863
K	43.103376	-75.24686
R	43.090062	-75.213102
V	43.093794	-75.214994
CC	43.078849	-75.275932
ST	43.104119	-75.2384
SR	43.133913	-75.219637
K	43.106889	-75.220948
G	43.090936	-75.193887
ST	43.09353	-75.214265
K	43.099384	-75.232764
V	43.100791	-75.231169
SR	43.10755	-75.243778
K	43.074853	-75.285501
AS	43.108821	-75.220503
ST	43.175356	-75.202188
AS	43.11378	-75.216939
SR	43.091521	-75.222715
K	43.109374	-75.268032
SR	43.10226	-75.241465
CC	43.076871	-75.281295
ST	43.096439	-75.241798
CC	43.093647	-75.246086
K	43.098857	-75.218988
K	43.089023	-75.222661
R	43.099258	-75.234845
K	43.098687	-75.218266
M	43.088923	-75.238708
CC	43.081016	-75.27178
ST	43.092403	-75.220386
CC	43.102141	-75.2397
U	43.115634	-75.209329
SR	43.102091	-75.222804
K	43.104067	-75.240747
ST	43.09839	-75.218949
ST	43.084829	-75.280646
CC	43.090189	-75.253151
SR	43.093143	-75.229676
R	43.0908	-75.221435
R	43.11448	-75.206446
CC	43.096731	-75.276131
SR	43.10829	-75.248071
MF	43.099584	-75.233084
SR	43.088341	-75.234105
V	43.111052	-75.150453
SR	43.092182	-75.209886
G	43.092335	-75.230747
CC	43.091059	-75.258096
K	43.094345	-75.228714
CC	43.083946	-75.268163
SR	43.108588	-75.250378
G	43.094101	-75.248593
CC	43.112891	-75.214103
CC	43.115603	-75.208832
R	43.088635	-75.258567
WT	43.102564	-75.161052
AS	43.101243	-75.232326
ST	43.098432	-75.223111
ST	43.086622	-75.260113
ST	43.107644	-75.231641
ER	43.101309	-75.245982
K	43.100491	-75.233526
CC	43.091082	-75.258084
CC	43.092965	-75.249001
K	43.09985	-75.233208
ST	43.115766	-75.209737
K	43.081987	-75.228926
CC	43.077972	-75.279251
SR	43.094555	-75.285995
X	43.115658	-75.204198
CC	43.080864	-75.288942
K	43.090265	-75.22185
SR	43.110205	-75.262786
M	43.110619	-75.164193
X	43.103144	-75.2261
G	43.0743	-75.267718
R	43.100833	-75.232955
MF	43.106598	-75.247098
R	43.085171	-75.2636
AS	43.093978	-75.245628
CC	43.086126	-75.262951
K	43.09672	-75.208919
AS	43.108982	-75.218336
K	43.096491	-75.212885
K	43.103659	-75.243741
V	43.105805	-75.264815
ST	43.087392	-75.202814
K	43.094393	-75.22029
K	43.093669	-75.23651
K	43.107084	-75.244384
CC	43.091104	-75.258075
WT	43.098435	-75.237964
V	43.088463	-75.240921
M	43.104284	-75.23977
R	43.10235	-75.233029
ST	43.080259	-75.273265
SR	43.096855	-75.251588
K	43.090254	-75.198745
SR	43.089656	-75.211788
R	43.07522	-75.284914
SR	43.100589	-75.228417
SR	43.109494	-75.250083
ST	43.104579	-75.229753
M	43.082422	-75.256194
U	43.109853	-75.250972
ST	43.102724	-75.24451
V	43.127008	-75.193046
V	43.092339	-75.234501
MF	43.151135	-75.212037
ST	43.088689	-75.211811
V	43.112429	-75.187036
K	43.101568	-75.230033
K	43.103224	-75.243848
G	43.074403	-75.267615
M	43.090083	-75.283604
ER	43.091722	-75.236732
K	43.091874	-75.222361
K	43.104349	-75.241851
K	43.109565	-75.212797
ST	43.082178	-75.228768
MF	43.09218	-75.196811
K	43.096851	-75.21638
K	43.104096	-75.241499
ST	43.104471	-75.240537
MF	43.10329	-75.223462
K	43.098882	-75.253384
V	43.094026	-75.23387
P	43.094642	-75.186083
ST	43.086228	-75.238284
G	43.096414	-75.2493
G	43.096159	-75.21005
SR	43.079455	-75.276124
CC	43.098783	-75.218822
SR	43.095429	-75.25511
G	43.090332	-75.224636
ER	43.099546	-75.237843
CC	43.093372	-75.270312
SR	43.097032	-75.219228
SR	43.093312	-75.202406
CC	43.09445	-75.286633
ST	43.095591	-75.24222
M	43.091352	-75.222735
ER	43.105141	-75.233183
ST	43.126073	-75.236032
CC	43.075555	-75.282528
M	43.114169	-75.208302
K	43.088105	-75.200146
K	43.105246	-75.234006
MF	43.098318	-75.217441
ST	43.096631	-75.219957
K	43.099041	-75.231404
CC	43.081723	-75.270235
M	43.091843	-75.222447
R	43.100057	-75.232963
K	43.090141	-75.213379
MF	43.086517	-75.261889
ST	43.098288	-75.217298
ST	43.106615	-75.247677
CC	43.084254	-75.265334
K	43.100584	-75.233417
ST	43.099286	-75.247113
SR	43.112531	-75.142975
R	43.094164	-75.214645
CC	43.102004	-75.239451
K	43.087711	-75.259578
U	43.110306	-75.180132
CC	43.091176	-75.287896
V	43.09434	-75.212498
K	43.101767	-75.231625
ST	43.117085	-75.211426
ST	43.109852	-75.254747
G	43.081741	-75.205262
R	43.081649	-75.272067
K	43.099535	-75.216785
R	43.099239	-75.236518
K	43.077617	-75.219451
NN	43.097169	-75.231223
SR	43.101852	-75.23158
SR	43.096172	-75.204791
R	43.107195	-75.220554
M	43.082505	-75.270202
SR	43.092637	-75.224439
K	43.098868	-75.235275
ST	43.103833	-75.228139
CC	43.078251	-75.279049
ST	43.10073	-75.229024
G	43.11635	-75.211545
K	43.089047	-75.222659
X	43.103964	-75.233453
K	43.110083	-75.217619
ST	43.12857	-75.224532
V	43.100773	-75.234078
ST	43.098001	-75.21615
V	43.100786	-75.234107
M	43.085119	-75.281791
K	43.102503	-75.229791
ST	43.100165	-75.156004
ER	43.094936	-75.261168
CC	43.086575	-75.262946
ST	43.080447	-75.207216
EE	43.105189	-75.233866
