occupation	latitude	longitude	zipcode
Albany_Medical_Center_Center_For_Donation_&_Transplant	A	42.682144	-73.847723
Grace_Nail_&_Spa	B	42.732976	-73.854598
Bethel_Thrift_&_Donation_Center	C	42.782482	-73.94193
Hudson_Valley_Foot_Associates	A	42.6893	-73.774632
Goodyear_Wholesale_Tire_Center	C	42.727952	-73.861199
Loudinville_Assisted_Living_Residence	B	42.682002	-73.760757
Spencer_Gifts	C	42.689248	-73.849798
Enterprise_Rent-A-Car	C	42.744258	-73.74887
The_Scarantino_Agency	C	42.781535	-73.904849
APlus	C	42.757791	-73.75818
Gold_Exchange	C	42.68977	-73.851118
St_Ambrose_School	A	42.757682	-73.752826
Anthem_Health_Svcs	B	42.726989	-73.854154
CAP_COM_Federal_Credit_Union	C	42.774299	-73.695905
One_Step_Above	B	42.76212	-73.752256
Hulse_Contracting_&_Construction	D	42.727406	-73.828088
Interfaith_Alliance_of_Nys	A	42.752734	-73.779903
Tesla_Supercharger_Guilderland	C	42.689306	-73.848395
Lisha_Kill_Sports_Complex	B	42.756999	-73.856912
True_Value_Hardware	C	42.732983	-73.792275
Emil_J_Nagengast_Florist	C	42.684198	-73.84095
Keller_Williams	C	42.763562	-73.754271
Hertz	C	42.851794	-73.936376
Eagle_Point_Elementary_School	A	42.673639	-73.816217
Deangelo's_Ristorante	B	42.791134	-73.939308
Yuan_Sushi	B	42.771945	-73.700559
Johnson_Garner_P	A	42.688071	-73.773152
Suzanne_Prezio	C	42.708392	-73.779163
Morning_Star_Missonary_Baptist_Church	A	42.66328	-73.776258
LensCrafters	A	42.689656	-73.851525
Village_Auto_Body_Shop	D	42.723153	-73.838597
Marshalls	C	42.776139	-73.891706
Things_Remembered	C	42.689535	-73.849756
Blessings_Jermain_Daycare_Center_Inc	A	42.713773	-73.709389
Scott_&_Son's_Moving_and_Handyman_Services	C	42.724881	-73.706235
S_&_G_Truck_Repair	D	42.738553	-73.791609
DiBella's_Subs	B	42.677335	-73.823188
The_Old_Brick_Furniture	C	42.703999	-73.827487
Futon_Galleria_Mattress_mart	C	42.738393	-73.762764
Miller_Robert_A	A	42.823086	-73.881457
Patrick's_of_Union_Street	B	42.803261	-73.901341
Delmar_Bootery	C	42.684023	-73.838906
Albany_Wheel_Services	D	42.680387	-73.879271
B_Brows	A	42.737206	-73.763574
Great_Wall	B	42.784103	-73.918558
Radiance_Hot_Yoga	B	42.727567	-73.759808
Hair_by_Cortney	B	42.714084	-73.828315
Bella_Hair_Salon	B	42.706801	-73.777757
Edge_City_Barber_Shop	B	42.800021	-73.925654
Lab_Corp	A	42.689355	-73.774668
Dollar_N_Things	C	42.708811	-73.817191
Spencer_Gifts	C	42.710956	-73.81543
Lena_Nail_Spa	B	42.714641	-73.828964
Roman_Jewels	C	42.688638	-73.860518
Fallon_Wellness_Pharmacy	A	42.765453	-73.808575
California_Closets	E	42.762359	-73.797469
Matador_Insurance_Agency	C	42.730702	-73.703165
Latham_Animal_Hospital	A	42.74293	-73.746804
Flowers_By_Randolph	C	42.793601	-73.936943
OshKosh_B'gosh	C	42.709299	-73.817279
American_Wrecker_&_Car_Carrir_Sls_&_Srvce_Incrprtd	C	42.7217	-73.863086
Vella_Hair_Design	B	42.792574	-73.933361
Vitality_Physicians_Group_Practice	A	42.709032	-73.863081
Marotta's_Towne_Pizza	B	42.762453	-73.939817
Capital_Vacuums	D	42.717122	-73.831758
7Th_Street_Park	B	42.714711	-73.705315
CVS	A	42.742735	-73.762586
Fuccillo_KIA	C	42.767193	-73.889907
Just_Threading	A	42.688168	-73.860461
Danielle's_Restaurant	B	42.724953	-73.799957
East_Coast_Discount_Tire	C	42.729512	-73.701863
Gallivan_Michael_T_Dr_DDS	A	42.775879	-73.701746
J_smitty_automotive	D	42.789357	-73.912461
Advance_Auto_Parts	C	42.738698	-73.762679
Mizu_Sushi	B	42.769718	-73.892657
I_Love_New_York_Pizza_of_Cohoes	B	42.778249	-73.709802
Kevin_Naylor_MetLife_Auto_&_Home	C	42.775379	-73.833685
Valente's_Restaurant	B	42.715956	-73.706158
TheBodyWorks_Wellness_Center	B	42.715458	-73.805749
Disney_Store	C	42.690001	-73.851315
CapitalCare	A	42.726869	-73.93813
Hertz	C	42.786552	-73.911351
Taco_Bell	B	42.785064	-73.945644
Stanford_Heights_Fire_Department_Station_2	A	42.744505	-73.902143
