category	latitude	longitude
K	42.689457	-73.850723
ST	42.739312	-73.736074
CC	42.806524	-73.909918
SR	42.734793	-73.781603
ST	42.691838	-73.812742
ST	42.687875	-73.847267
CC	42.742988	-73.742509
CC	42.772045	-73.75667
ST	42.727633	-73.761136
M	42.727388	-73.844849
G	42.661233	-73.774148
AS	42.723775	-73.801818
V	42.662008	-73.775379
K	42.689574	-73.850341
K	42.729295	-73.796752
K	42.774827	-73.891998
ER	42.686794	-73.856083
ER	42.716338	-73.805418
ST	42.754111	-73.756555
ER	42.744676	-73.838065
U	42.766197	-73.814588
SR	42.763023	-73.752868
SR	42.729457	-73.853452
M	42.708572	-73.862565
CC	42.802136	-73.897875
U	42.747399	-73.759282
R	42.727825	-73.759802
SR	42.738106	-73.767838
ST	42.723014	-73.936205
K	42.744646	-73.838139
ER	42.733325	-73.853921
CC	42.683727	-73.771215
ER	42.775558	-73.750595
U	42.764181	-73.80131
CC	42.70117	-73.84947
CC	42.683755	-73.77124
R	42.714916	-73.876996
ST	42.694547	-73.820021
ST	42.731449	-73.705653
CC	42.781874	-73.950566
SR	42.764693	-73.885186
SR	42.78112	-73.705986
R	42.69041	-73.865562
K	42.72751	-73.761133
ER	42.745271	-73.750841
ST	42.740153	-73.859676
K	42.784868	-73.943694
ST	42.689049	-73.848979
CC	42.772735	-73.752249
ST	42.684957	-73.840016
SR	42.681001	-73.794128
X	42.724343	-73.772951
M	42.743489	-73.749082
CC	42.690349	-73.867574
SR	42.727965	-73.846249
WT	42.758971	-73.759647
SR	42.751104	-73.778258
K	42.738089	-73.762983
K	42.689	-73.851429
CC	42.827201	-73.906701
CC	42.709154	-73.863245
CC	42.69387	-73.771785
ST	42.735913	-73.851246
ST	42.725952	-73.760413
ST	42.738533	-73.856248
G	42.708826	-73.775556
ST	42.765768	-73.888447
CC	42.689282	-73.774712
ST	42.706186	-73.826392
K	42.706514	-73.858991
CC	42.686423	-73.840999
R	42.775361	-73.83371
ER	42.675817	-73.845868
SR	42.795807	-73.922104
SR	42.785716	-73.944375
CC	42.758104	-73.777253
U	42.771667	-73.893694
ST	42.709914	-73.818331
SR	42.70448	-73.828528
R	42.707781	-73.861641
ST	42.819047	-73.885499
K	42.772502	-73.82307
CC	42.803771	-73.914468
CC	42.760086	-73.78648
R	42.775263	-73.701672
CC	42.75873	-73.776933
ER	42.727164	-73.701601
CC	42.807842	-73.868552
CC	42.758098	-73.777227
K	42.729937	-73.849984
M	42.716913	-73.80766
K	42.65266	-73.757465
K	42.804929	-73.904402
MF	42.689302	-73.8484
WT	42.695136	-73.815659
ST	42.750631	-73.773904
K	42.721692	-73.803266
K	42.717629	-73.804434
CC	42.721424	-73.837704
ST	42.683669	-73.840598
ST	42.709819	-73.707223
K	42.781668	-73.952869
K	42.710755	-73.816207
K	42.724536	-73.700517
U	42.692384	-73.803239
CC	42.665431	-73.789113
G	42.674113	-73.8166
K	42.707591	-73.778429
K	42.747006	-73.758655
R	42.783527	-73.892459
K	42.746419	-73.761007
ST	42.745877	-73.864125
ST	42.689226	-73.849929
CC	42.709461	-73.864064
U	42.740233	-73.735449
CC	42.758727	-73.776899
ER	42.716253	-73.705385
V	42.761899	-73.881102
ST	42.732968	-73.938641
K	42.804253	-73.90251
G	42.73936	-73.736187
K	42.816551	-73.890779
ER	42.783981	-73.920446
K	42.715043	-73.830671
SR	42.750406	-73.86975
R	42.707853	-73.776058
U	42.705754	-73.777024
K	42.748555	-73.760202
WT	42.782663	-73.941647
K	42.716019	-73.810026
MF	42.71726	-73.8319
ST	42.784241	-73.917989
ST	42.708454	-73.775384
ST	42.684851	-73.84107
SR	42.737821	-73.742744
AS	42.755786	-73.774129
SR	42.712709	-73.828008
ER	42.664087	-73.785649
CC	42.829151	-73.88867
CC	42.693885	-73.771762
ST	42.775982	-73.889674
ST	42.771214	-73.755126
V	42.727081	-73.790212
U	42.769548	-73.81835
ST	42.689304	-73.848406
R	42.721136	-73.808735
ER	42.797739	-73.853321
ER	42.708484	-73.832582
K	42.683486	-73.794685
ER	42.683733	-73.83962
ST	42.70592	-73.828678
SR	42.690991	-73.810656
ST	42.688784	-73.84921
ST	42.778127	-73.900885
M	42.783994	-73.70758
K	42.689504	-73.850747
CC	42.698001	-73.768635
V	42.770846	-73.702674
K	42.759962	-73.941823
K	42.691136	-73.868222
V	42.787177	-73.929431
K	42.798398	-73.926514
ER	42.718676	-73.864833
R	42.685714	-73.782747
M	42.777965	-73.933907
ER	42.743543	-73.749201
SR	42.715567	-73.80564
CC	42.689324	-73.777664
G	42.781258	-73.904262
CC	42.693034	-73.873314
U	42.743501	-73.91757
X	42.768815	-73.704154
ER	42.775679	-73.701671
ST	42.789158	-73.737591
CC	42.738917	-73.841295
ST	42.725461	-73.85349
R	42.715546	-73.804398
G	42.782562	-73.955091
M	42.687987	-73.773001
K	42.78099	-73.955385
K	42.708406	-73.775288
CC	42.807492	-73.91233
ER	42.720574	-73.768667
ST	42.799318	-73.926016
K	42.696852	-73.768007
M	42.713408	-73.839154
K	42.690534	-73.783291
CC	42.752109	-73.76199
ST	42.689991	-73.850411
CC	42.725791	-73.936058
SR	42.708551	-73.710093
SR	42.752175	-73.871666
U	42.783506	-73.743477
ST	42.710468	-73.815471
U	42.743299	-73.745208
ER	42.825386	-73.897914
M	42.690232	-73.852478
G	42.783303	-73.946312
ST	42.730398	-73.71064
WT	42.7177	-73.80451
ST	42.729203	-73.845047
K	42.729903	-73.795328
CC	42.764646	-73.811245
R	42.781083	-73.952657
ER	42.689487	-73.850746
K	42.689479	-73.850733
CC	42.697963	-73.768608
CC	42.805374	-73.907023
SR	42.717217	-73.807705
R	42.727386	-73.759818
ST	42.710552	-73.816384
G	42.775257	-73.953597
V	42.682533	-73.779967
M	42.807663	-73.731726
SR	42.763467	-73.801795
SR	42.682723	-73.79235
WT	42.687207	-73.84226
ST	42.688554	-73.848194
ST	42.783015	-73.890796
K	42.714198	-73.706153
SR	42.69521	-73.878863
R	42.732528	-73.849277
SR	42.802169	-73.727011
WT	42.728959	-73.850729
ER	42.760988	-73.793735
CC	42.758324	-73.777448
AS	42.713428	-73.828631
SR	42.728421	-73.786778
K	42.736966	-73.767918
SR	42.806861	-73.914726
ST	42.75726	-73.769105
ER	42.729818	-73.85029
R	42.695139	-73.807996
K	42.683549	-73.840465
ER	42.672958	-73.847681
ST	42.684304	-73.839143
R	42.697683	-73.76807
CC	42.807833	-73.911731
ER	42.721404	-73.863689
ST	42.750905	-73.764311
CC	42.693897	-73.771803
ST	42.816557	-73.889153
ST	42.716983	-73.831624
P	42.81485	-73.890503
X	42.722956	-73.703167
CC	42.758041	-73.777382
SR	42.776171	-73.892593
ST	42.830032	-73.903437
ST	42.691166	-73.868022
R	42.681802	-73.848506
K	42.783696	-73.948403
K	42.684727	-73.850387
G	42.720648	-73.835731
ST	42.689335	-73.848393
M	42.773355	-73.697302
SR	42.698982	-73.822295
M	42.743817	-73.918192
CC	42.804491	-73.915977
K	42.68842	-73.799091
R	42.72767	-73.845812
ST	42.688657	-73.849043
CC	42.830738	-73.891045
ST	42.683913	-73.839788
M	42.683851	-73.839693
R	42.761293	-73.81713
K	42.710904	-73.816326
ST	42.702417	-73.81324
V	42.675964	-73.822408
ST	42.733438	-73.8493
K	42.727834	-73.8438
CC	42.683312	-73.846751
CC	42.726378	-73.937901
SR	42.801673	-73.916866
K	42.764138	-73.801702
G	42.714277	-73.812002
CC	42.772632	-73.757994
CC	42.738913	-73.841115
ST	42.737186	-73.701227
ST	42.732167	-73.852915
SR	42.756989	-73.777622
ST	42.689432	-73.84968
R	42.695108	-73.879437
K	42.68957	-73.849732
CC	42.827761	-73.892448
CC	42.773277	-73.700746
SR	42.789757	-73.938258
CC	42.762799	-73.746007
ST	42.683783	-73.840793
ST	42.685162	-73.840492
CC	42.685427	-73.838934
ST	42.688858	-73.848736
ST	42.782928	-73.906276
K	42.68934	-73.84841
WT	42.775208	-73.889419
ST	42.727926	-73.761149
K	42.719104	-73.80347
CC	42.683052	-73.846996
CC	42.683216	-73.770192
CC	42.725026	-73.823015
K	42.784974	-73.909791
ST	42.732273	-73.761717
AS	42.763678	-73.938109
M	42.816333	-73.890074
SR	42.788722	-73.92944
ST	42.689576	-73.851071
CC	42.689321	-73.777669
ST	42.691002	-73.807645
CC	42.76966	-73.822369
