occupation	latitude	longitude	zipcode
Brighter_Choice_Charter_Middle_School_For_Girls	A	42.664206	-73.769299	12206

Stewart's_Shops	C	42.71505	-73.693609	12180

Cutworks	B	43.047344	-73.846871	12020

Dehn's_Flowers	C	43.083217	-73.792578	12866

First_United_Methodist_Church	A	42.622596	-73.836525	12054

Adirondack_Tire_&_Service	C	43.079263	-73.802202	12866

Allstate_Insurance	C	42.825834	-73.963446	12302

Turnpike_Beverage	C	42.62243	-73.738492	12144

Esthetiques_European_Skin_Care_Clinique	B	43.081821	-73.784937	12866

FASTSIGNS	E	43.095085	-73.758633	12866

99_Cents_City	C	42.673458	-73.783	12206

Waterford_Beverage	C	42.781924	-73.695289	12188

Exxon_Mobil	C	42.808631	-73.915161	12308

Walgreens	A	42.934985	-73.808898	12019

AMC_Jewelry_&_Decor	C	42.732094	-73.690452	12180

Com_One	C	42.834349	-73.737696	12065

Home_Helpers	B	42.682448	-73.790019	12206

Ceo_Family_Resource_Center	A	42.736618	-73.684698	12180

Hudson_River_Community_Credit_Union	C	42.785107	-73.651953	12182

Capital_Healthcare_Associates	B	42.677419	-73.691664	12180

State_Farm	C	42.747986	-73.672928	12180

Best_Pizza_And_Wings	B	42.742615	-73.64522	12180

The_Washington	C	43.08187	-73.785088	12866

Jim's_Tastee_Freez	B	42.630949	-73.804985	12054

Sally_Beauty_Supply	A	42.642463	-73.698365	12144

Walmart	C	42.841693	-73.944114	12302

Nail_Art	B	42.726845	-73.794958	12204

Boces_Washington_Saratoga_Warren_Hamilton_Essex	A	43.081369	-73.753713	12866

Burt_Anthony_Associates	C	42.611932	-73.860278	12054

Miss_Scarlett	C	43.080647	-73.785003	12866

Advanced_Therapy_Clifton_Park	A	42.87141	-73.819617	12065

Dunkin'	B	43.123264	-73.768857	12866

West_Ave_Pizzeria	B	43.078542	-73.805654	12866

Atlantic_British_Ltd	C	42.867223	-73.746965	12065

Cumberland_Farms_RD	C	43.045472	-73.849376	12020

Walgreens	A	42.672217	-73.779829	12206

Village_Floral_And_Gifts	C	42.824654	-73.961049	12302

Ortiz_Michael_MD	A	43.083908	-73.805156	12866

Enterprise_Rent-A-Car	C	42.851804	-73.936374	12302

Prime_Wedding_Dj's	C	42.653013	-73.772906	12208

Seton_Health_Laboratory_Patient_Service_Center	A	42.865036	-73.78826	12065

Saratoga_Hospital_Medical_Group_Cardiology	A	43.084561	-73.797509	12866

National_Bottle_Museum	B	43.003115	-73.848576	12020

Capital_District_Podiatry	A	42.747117	-73.640007	12180

David's_Nail_&_Spa	B	42.745104	-73.641342	12180

Church_of_God_Propecy	A	42.659002	-73.779975	12208

Serenity_Garden	A	42.850182	-73.942312	12302

Maria's_Troy	B	42.737897	-73.686901	12180

Clinical_Prosthetics_&_Orthotics	A	42.654096	-73.782097	12208

Gas_Tank_Renu	D	42.667115	-73.768066	12206

SMPR_Title_Agency	C	42.999251	-73.851573	12020

Albany_Public_Library_North_Albany_Branch	B	42.673989	-73.740117	12204

Das_Shanker_MD	A	42.869944	-73.812875	12065

John_N_Popielarski_DDS	A	43.098034	-73.772545	12866

Cdy_Albany_Schuyler_Acheivement_Academy	A	42.668306	-73.774966	12206

B'yond_Style	B	42.656935	-73.802427	12208

Bedrock_Inn	B	42.795504	-73.994442	12306

Brix_Wine_and_Liquor	C	42.964754	-73.790597	12020

A_Child's_Place_At_Unity_House	A	42.73022	-73.693409	12180

Sorrentino's_Delicatessen_&_Market	C	42.837774	-73.7444	12065

Fairways_of_Halfmoon	B	42.907576	-73.710171	12118

Troy_Boys_And_Girls_Club	A	42.729396	-73.686679	12180

Malta_Diner	B	42.970635	-73.793601	12020

Demetrius_Cuts_Hair	B	42.841381	-73.745078	12065

Concord_Pools_&_Spas	C	43.070101	-73.788178	12866

Trustco_Bank	C	43.078522	-73.788643	12866

Ageless_Acupuncture	A	43.080452	-73.785581	12866

Amber_Henry_RE_MAX	C	42.693165	-73.688105	12180

Marie_Dolfi_LCSW	A	42.677377	-73.797322	12206

Frank_Webb_Home	C	42.966202	-73.861589	12020

Albany_Dodge	D	42.676704	-73.787765	12206

Andy's_Barber_Shop	B	42.786161	-73.968686	12306

Rocco_D_Grella_MD_FACC	A	43.084549	-73.797515	12866

School's_Out_Inc_Slingerlands_Elementary	A	42.626578	-73.86175	12054

Slice_of_Glenville	B	42.867738	-73.929897	12302

G_Willikers_Toys	C	43.082936	-73.785201	12866

Urgent_Care_Center_of_Albany	A	42.65396	-73.774729	12208

Perlin_Cindy_CSW	A	42.622877	-73.852679	12054

Troy_Fire_Department_Station_4_North_Street_Station	A	42.745399	-73.683648	12180

Thistle_Be_Perfect_Artisan_Boutique	C	42.868744	-73.926908	12302

El_Patron_Mexican_Grill_&_Cantina	B	42.661874	-73.769769	12206

Halfmoon_Family_Dental	A	42.820705	-73.750306	12065

J&T's_Family_Cafe	B	42.834366	-73.969687	12302

Best_Western	B	42.733789	-73.688949	12180

Exit_11_Citgo_Truck_Stop	C	42.937172	-73.807064	12019

Kathleen's_Fiber_Arts	C	42.730871	-73.693374	12180

Albany_Med_Clifton_Park	A	42.864107	-73.757424	12065

N_D_El's_Salon_&_Spa	B	42.671217	-73.787351	12206

Davies_Office_Furniture	C	42.667251	-73.745955	12204

United_Methodist_Church	A	42.903426	-73.68687	12118

Capital_Cardiology_Associates	A	42.734466	-73.671716	12180

Larrys_Auto_Body	D	43.023326	-73.913621	12020

Oh_Corn_Arepas_&_More	B	42.839278	-73.742751	12065

R_L_Smith_Sales	C	42.584047	-73.739218	12144

Target	C	42.645149	-73.701169	12144

Lensky_Igor	C	42.65804	-73.815733	12208

Saratoga_County_Oral_&_Maxillofacial_Surgery_Associates	A	43.08612	-73.807338	12866

St_Croix_Tan	B	42.625393	-73.822514	12054

The_River_Road_House	B	42.860064	-74.028121	12306

Clifton_Plaza_Barber_Shop	B	42.869267	-73.819787	12065

The_Barrelhouse	B	43.07854	-73.792518	12866

City_Mission_of_Schenectady	C	42.883154	-73.92615	12302

Merle_Norman_Cosmetics	A	43.078822	-73.792655	12866

Firestone_Complete_Auto_Care	C	42.825018	-73.960743	12302

A_Plus_Auto_Detailing	D	43.070848	-73.789493	12866

Dunkin'	B	42.783769	-73.655354	12182

The_Gideon_Putnam	B	43.057252	-73.797915	12866

Adirondack_Trust_Company	C	43.102746	-73.74515	12866

Restaurant_Navona	B	42.653399	-73.788437	12208

Showcase_Homes_of_Malta	B	42.986157	-73.786922	12020

Saratoga_Physical_Therapy_Assocs	A	43.086714	-73.808686	12866

King_Wealth_Management_Group	A	43.074809	-73.803422	12866

Bruce_Melody_A_MD	A	42.733837	-73.687201	12180

Capital_District_Psych_Center	A	42.654553	-73.780175	12208

Seventh_day_Aventist_Church	A	43.06974	-73.742562	12866

Beauty_Society	B	42.970937	-73.790802	12020

Arongen_Elementary_School	A	42.857871	-73.789134	12065

Church_Of_God_Church_Of_God	A	43.136946	-73.704017	12866

Usa_Gasoline	C	42.863355	-73.773249	12065

Schenectady_Community_Action_Program_Head_Start	A	42.832097	-73.91596	12308

Blessed_Hope_Worship_Center	A	42.661164	-73.767744	12206

Inferno_Pizzeria	B	42.70458	-73.683863	12180

Selenas_Cafe	B	42.610168	-73.725462	12144

IGA	C	42.827366	-73.967822	12302

Park_Lane_Tobacconist	C	42.866532	-73.782016	12065

Kinsley_Power_Systems	C	42.668946	-73.745244	12204

Adventure_In_Food_Trading	C	42.694471	-73.717103	12204

Confidence_house_cleaning_services	D	42.851785	-73.784644	12065

S_Susan_Verleger_MD	A	43.086943	-73.798914	12866

Mattress_Firm	C	42.867766	-73.930395	12302

Augie's_Family_Style_To_Go	B	43.084496	-73.769402	12866

Jolyns_Hair_and_Tanning_Salon	B	42.629327	-73.812151	12054

Dollar_General	C	42.767707	-73.679934	12182

Phone_Wizard_in_Scotia	C	42.860232	-73.935667	12302

Stewart's_Shops	C	42.794676	-74.005208	12306

Saratoga_Botanicals_Organic_Store_and_Spa	B	43.082043	-73.782171	12866

Troy's_Best_Body_Shop	D	42.748706	-73.680373	12180

The_Berlin	B	42.734858	-73.687372	12180

Eddie_F's	B	43.086496	-73.787899	12866

