category	latitude	longitude
M	42.688519	-73.797959
ST	42.698428	-73.823707
K	42.783017	-73.949992
K	42.683181	-73.840148
ST	42.684005	-73.838787
ST	42.775378	-73.935384
ER	42.792701	-73.928741
V	42.80143	-73.945144
CC	42.758712	-73.776923
M	42.753648	-73.757458
WT	42.741824	-73.859407
ST	42.729279	-73.700399
ST	42.71064	-73.84325
U	42.770345	-73.89327
ST	42.738804	-73.73132
K	42.729946	-73.84999
V	42.767906	-73.777057
SR	42.756993	-73.77766
CC	42.726773	-73.761052
ST	42.688466	-73.849275
CC	42.807145	-73.910102
ST	42.728392	-73.760958
U	42.772076	-73.685262
SR	42.774125	-73.896188
CC	42.804452	-73.915739
K	42.703344	-73.815815
WT	42.773086	-73.89619
K	42.684632	-73.839474
SR	42.722601	-73.837155
ST	42.728673	-73.759812
ER	42.76201	-73.749863
K	42.663072	-73.775744
U	42.815886	-73.892968
U	42.729228	-73.760118
ER	42.783487	-73.946041
K	42.760977	-73.754672
ST	42.683604	-73.840502
ST	42.807243	-73.912956
ST	42.703196	-73.815552
ST	42.704643	-73.830224
MF	42.771551	-73.70085
SR	42.785715	-73.94439
ER	42.688257	-73.794965
M	42.785633	-73.910561
CC	42.77285	-73.751846
K	42.706349	-73.775363
V	42.814875	-73.90541
R	42.722336	-73.798915
V	42.793807	-73.947203
K	42.703852	-73.775881
SR	42.739538	-73.829494
SR	42.789863	-73.93956
K	42.727926	-73.761193
ST	42.77113	-73.700303
X	42.677105	-73.801308
K	42.685414	-73.765646
SR	42.767451	-73.728639
MF	42.738526	-73.787378
U	42.824373	-73.910795
ST	42.710498	-73.816163
ST	42.747134	-73.814674
CC	42.678284	-73.844595
SR	42.77995	-73.902782
R	42.80556	-73.90742
ST	42.688903	-73.850241
K	42.684456	-73.794164
K	42.733163	-73.762847
M	42.718481	-73.807505
U	42.706746	-73.712206
U	42.712698	-73.755879
SR	42.765905	-73.814018
SR	42.714087	-73.840821
R	42.735582	-73.699903
SR	42.726413	-73.802801
CC	42.772045	-73.75667
CC	42.679657	-73.834657
ST	42.689998	-73.85042
V	42.703026	-73.782441
K	42.746925	-73.75818
ST	42.776255	-73.903104
M	42.731887	-73.70722
CC	42.682144	-73.847723
CC	42.723105	-73.839711
R	42.721157	-73.807069
SR	42.760634	-73.790986
SR	42.667287	-73.79045
R	42.737561	-73.763694
ST	42.711471	-73.814171
SR	42.704755	-73.775649
SR	42.725428	-73.845016
SR	42.787661	-73.91265
AS	42.692466	-73.85
SR	42.767913	-73.890513
ST	42.757466	-73.758649
V	42.787645	-73.904073
CC	42.731962	-73.782801
ER	42.688496	-73.849274
CC	42.709154	-73.863245
CC	42.717083	-73.807622
