occupation	latitude	longitude	zipcode
Caliber_Collision	D	42.859417	-73.775904	12065

Bayou_Cafe	E	42.891731	-73.921783	12302

Hess_Corporation	C	42.599772	-73.745528	12144

St_Peter's_Roman_Catholic_Church	A	43.076535	-73.787142	12866

Compliments_To_the_Chef	C	43.08377	-73.784335	12866

Magic_Hand_Foot_Spa	B	42.79878	-73.963316	12306

Wildbird_Junction	C	42.624123	-73.827074	12054

STACK'D_Cafe	B	42.901148	-73.760307	12065

Ellis_Hospital	A	42.819995	-73.915802	12308

Saratoga_OBGYN_at_Malta	A	42.975957	-73.78969	12020

HSO_Hair_Salon	B	42.607002	-73.719123	12144

Dango_Fitzgerald's	B	43.081706	-73.783157	12866

Saratoga_Springs_Yoga	B	43.080266	-73.785378	12866

Regal_Entertainment_Group	A	42.640163	-73.701361	12144

King_Michael_Dr	A	42.865055	-73.789748	12065

East_Line_Books	C	42.864957	-73.770747	12065

Joanie_Kraft_RE_MAX_Capital	C	42.880592	-73.77354	12065

Emmaus_United_Methodist_Church	A	42.664761	-73.791799	12208

Center_for_Hearing	B	42.869954	-73.812873	12065

Westin_Home_Buyers	B	42.737806	-73.668585	12180

Country_Wine_&_Spirits	C	42.794974	-74.008001	12306

Hoffman_Development_Corp	D	42.631402	-73.80519	12054

Billington_Family_Dentistry	A	43.017619	-73.789737	12020

Community_Care_Physicians_Internal_Medicine_Delmar	A	42.626174	-73.820549	12054

Tangora_Technologies	C	42.606387	-73.882599	12054

Stewart's_Shops	C	42.936337	-73.807911	12019

Taylor_Moto_Sports	C	43.016736	-73.844863	12020

Variety_Pizza_&_Deli	B	42.666103	-73.792018	12208

Philip_J_Schuyler_Achievement_Academy	A	42.668328	-73.774847	12206

Tushita_Heaven	C	43.082079	-73.785644	12866

New_Country_Ford_Service_Center	D	43.099258	-73.751248	12866

Stewart's_Shops	C	42.65402	-73.77261	12208

Right_Way_Driving_Center	A	42.677626	-73.797057	12206

Michael_O_Murphy_Insurance_Agency	C	43.080397	-73.796305	12866

Manory's_Restaurant	B	42.728736	-73.689317	12180

Underground_Athletics	B	42.731905	-73.691998	12180

J&T's_Family_Cafe	B	42.834379	-73.969641	12302

Best_Western_Plus_Franklin_Square_Inn_Troy_Albany	B	42.733857	-73.689081	12180

Exit_11_Citgo_Truck_Stop	C	42.937172	-73.807064	12019

Kathleen's_Fiber_Arts	C	42.730871	-73.693374	12180

Lavish_Nail_Bar	B	42.65597	-73.689844	12144

Great_Bay_Seafood	B	43.021828	-73.840475	12020

Salsa_Latina	B	42.664987	-73.77241	12206

Hala_Mobile_Center	C	42.660154	-73.766883	12206

Sisters_of_Mercy	A	42.652732	-73.811782	12208

Family_Footwear_Center	C	42.744889	-73.641838	12180

Vegter_Roy_J_DDS	A	42.760022	-73.680319	12180

Pancho's_Clifton_Park	B	42.818538	-73.774484	12065

Rebecca_Rice_Acupuncture	A	42.619919	-73.833795	12054

Hearthstone_Veterinary_Hospital	A	43.095284	-73.663883	12866

CozyTown_Linens	D	42.966381	-73.693217	12118

Schuyler_Motors	C	42.822433	-73.744875	12065

Solo_Salon_Suite	B	43.080845	-73.785125	12866

Rose_Hair_&_Healing	B	42.732544	-73.688344	12180

Turf_Tavern	B	42.824933	-73.960906	12302

The_Savory_Pantry	C	43.083698	-73.784329	12866

Troy_Area_United_Ministries_Inc	A	42.716283	-73.694476	12180

Brennan_Tracey_L	A	43.075889	-73.802946	12866

Walt_and_Whitman_Brewing_Company	D	43.082732	-73.783616	12866

Aaron's	C	42.673818	-73.783474	12206

Redeemed_Christian_Church_Of_God_Solution_Center_Inc	A	42.65182	-73.769444	12208

Boys_&_Girls_Clubs_of_America	B	42.832088	-73.915975	12308

Albany_Medical_Center_Hospital	A	42.652185	-73.773822	12208

Saratoga_Hospital_Inpatient_Transition_Program	A	43.08815	-73.790774	12866

Casa_Dominicana	A	42.66363	-73.771555	12206

Bun_and_Bean	B	42.660609	-73.782364	12208

Pai's_Academy_of_Taekwondo	A	42.848726	-73.754224	12065

Aldam_Angela	A	42.654687	-73.807482	12208

R_S_Taylor_&_Sons_Brewery_Taproom	B	43.077229	-73.789325	12866

Aquilonia_Comics	C	42.732529	-73.688263	12180

Courtyard_by_Marriott_Albany_Thruway	B	42.690412	-73.820538	12206

Wright_Heart_Center_At_Ellis_Hospital	A	42.820102	-73.916417	12308

Dci_Rubin_Dialysis_Centers_Clifton_Park	A	42.855205	-73.770852	12065

Minuteman_Press	E	42.872667	-73.776087	12065

Terra_Nova_Church	A	42.735508	-73.687701	12180

Capital_District_Urologic_Surgeons_Llp	A	43.083924	-73.805185	12866

Heather_Carl	B	43.084727	-73.784923	12866

Old_Mount_Ida_Cemetery	B	42.720521	-73.673831	12180

The_Animal_Clinic	A	42.895154	-73.77391	12065

Auntie_Anne's	B	42.841856	-73.944381	12302

United_States_Postal_Service_(USPS)	C	42.668561	-73.777323	12206

Mega_Burger	B	42.628328	-73.812496	12054

Glenville_Mini_Sportplex	B	42.840421	-73.937667	12302

Stewart's_Shops	C	42.703512	-73.687807	12180

I_Love_New_York_Pizza_of_Albany	B	42.671333	-73.780434	12206

Anothy_Rittico	A	42.653189	-73.776079	12208

Clear_Vision_General_Construction	D	42.795578	-73.971382	12306

Harbor_House_Fish_Fry	B	42.869656	-73.773984	12065

Numinous	A	42.915828	-73.826083	12019

St_Mary's_Cemetery	B	42.724106	-73.663811	12180

Hannaford_Supermarkets	C	43.047453	-73.852568	12020

Holiday_at_the_Atrium	B	42.83207	-73.932125	12302

Doubleday_House_Antiques	C	43.003514	-73.850351	12020

Sybil_R_Schwartzbach_LMT	B	42.675561	-73.686807	12180

Hudson_River_Bait_&_Tackle	C	42.631915	-73.743068	12144

Wayne_S_Harrison_DDS	A	43.086098	-73.79511	12866

Williams_Opticians	A	42.735752	-73.683643	12180

Flavors_Authentic_Caribbean_Ice_Cream	B	42.664935	-73.772247	12206

BCA_Architects_&_Engineers	A	43.083392	-73.78735	12866

Dollar_Store	C	42.857724	-73.778552	12065

Target	C	42.857381	-73.77247	12065

Lansingburgh_Nails_&_Spa	B	42.784919	-73.673251	12182

Collar_City_Cafe	B	42.746499	-73.683142	12180

Karma_Triyana_Dharmachakra_Inc	A	42.684907	-73.736589	12204

Albert_Kevin_doctor_of_medicine	A	42.737904	-73.664045	12180

Shear_Gold_Hair_Design	B	43.051725	-73.720604	12866

Copper_Pot	B	42.740162	-73.684852	12180

St_Peter's_Health_Care_Services	A	42.655429	-73.804905	12208

Dunkin'	B	42.653147	-73.7761	12208

Curry_House	B	42.666139	-73.792041	12208

Royal_Meadery	A	42.623459	-73.831778	12054

Caruso's_Auto_Repair	D	42.789839	-73.960609	12306

Yan's_Chinese_Buffet	B	42.627347	-73.812404	12054

Olender_Furniture_&_Sleep_Shops	C	42.857379	-73.772498	12065

Legends_Barbershop	B	42.904367	-73.687453	12118

Dunkin'	B	42.993314	-73.850642	12020

Hertz	C	42.875377	-73.774608	12065

Dantes_Frozen_Yogurt_Bar	B	42.731942	-73.690922	12180

Hannah's_Healing	B	43.08085	-73.785329	12866

Schummer_John_C_Dds	A	42.880312	-73.913454	12302

Bethlehem_Chabad_Inc	A	42.62185	-73.835359	12054

Hampton	B	42.865521	-73.778363	12065

Jasada_Antiques	C	42.917703	-73.887178	12019

Instituto_Humaita_Capoeira	A	43.066057	-73.790251	12866

Safe_Care_Mobility_Services	B	42.668109	-73.743076	12204

Wrangler's_Bar_&_Grill	B	42.609371	-73.725841	12144

Rensselaer_County_Plaza	C	42.642544	-73.700415	12144

Nightingale_Nail_Salon_Wilton_Square	B	43.099293	-73.741641	12866

North_Pier_Marina	B	43.055699	-73.72249	12866

All_Tech_Automotive	D	42.993913	-73.85026	12020

Handy_Dandy_Drive_In_Clnrs	E	42.626849	-73.819217	12054

Darn_Good_Yarn	C	42.867782	-73.753434	12065

Dog_Haus	B	42.861699	-73.784325	12065

Judy's_Beauty_Salon	B	42.691741	-73.68621	12180

Courtyard_Albany_Troy_Waterfront	B	42.738764	-73.686606	12180

Minar_Indian_Cusine	C	42.731242	-73.687901	12180

Fantastic_Sams	B	42.975193	-73.790203	12020

Waterford_Freemasons_Hall	B	42.789633	-73.676193	12188

The_Limelight_Salon	B	43.080165	-73.789525	12866

Ted's_Fish_Fry	B	42.85959	-73.763231	12065

P_M_Auto_&_Truck_Repair	D	42.776529	-73.586046	12180

Oakcliff_Bed_and_Breakfast	C	42.824821	-73.729124	12188

Ryan's_Wake	B	42.735294	-73.687786	12180

Carol's_Place	B	42.705148	-73.660199	12180

Mobil	C	42.740502	-73.65675	12180

Albany_Med_EmUrgentCare	A	42.869937	-73.812865	12065

Feathers_Furniture_Co	C	42.750671	-73.632584	12180

Hoffman_Car_Wash	D	42.611841	-73.727883	12144

Barbarotto_Paul_D_DO	A	42.630602	-73.703019	12144

Dave's_Gourmet_Burgers_and_More	B	42.794896	-73.972877	12306

ValuSpace_Personal_Storage	E	42.853243	-73.75714	12065

Michaels_Stores	C	42.85865	-73.770958	12065

O'learys_Tavern	B	42.736222	-73.675918	12180

Malta_Animal_Hospital	A	42.970371	-73.809964	12020

Lavender_Nails	B	42.817842	-73.774173	12065

Three_Olives	B	43.015916	-73.844213	12020

Jan's_Florist_Shop	C	43.101537	-73.772044	12866

Banfield_Pet_Hospital	A	43.0991	-73.743261	12866

The_Bread_Basket_Bakery	E	43.07948	-73.782265	12866

Bick_Wanck_MD_&_Associates	A	43.048326	-73.842277	12866

Eddy's_Beverage	C	43.089601	-73.769703	12866

Delafield_Motors	C	42.895839	-73.913581	12302

Magic_Nails	B	42.696455	-73.690431	12180

CAPTAIN_CHS_Runaway_and_Homeless_Emergency_Youth_Shelter	B	42.863036	-73.785783	12065

Scotia_Wines_&_Spirits	C	42.824172	-73.960442	12302

Shirl's_Computer_Solutions	C	42.827234	-73.968185	12302

The_Sage_Colleges	A	42.728167	-73.692994	12180

Boys_&_Girls_Clubs_of_America	B	42.643285	-73.74216	12144

Shred-it	A	42.786977	-73.990778	12306

Tailgators_Sports_Tavern	B	42.860976	-73.765944	12065

Harvest_and_Hearth	B	43.073578	-73.695346	12866

Greenridge_Cemetery	B	43.070861	-73.784688	12866

San_Souci_Restaurant	B	42.827197	-73.965371	12302

Albany_Outlet_&_Clearance_Center	C	42.667324	-73.743442	12204

Holy_Cross_Armenian_Apostolic_Church	A	42.712283	-73.670227	12180

Edk_Automotive	D	42.66443	-73.773918	12206

Dollar_Tree	C	42.68264	-73.788777	12206

Kelly_Rae_Rose_Hair_Designs	B	43.051795	-73.720953	12866

Upstate_Laserwash	D	42.85072	-73.756491	12065

Dragon_Fry_Fish	B	42.676971	-73.781836	12206

Fairy_Sichuan	B	42.664569	-73.7719	12206

Fountaine_Transport	D	42.792786	-73.978	12306

Knox_Insurance_Agency	C	42.677639	-73.797042	12206

Robert_P_Vignali_DDS	A	42.678285	-73.795608	12206

WEST_&_Company_CPA_PC	A	43.08166	-73.787658	12866

Rensselaer_Cogen	E	42.624942	-73.749891	12144

Elmwood_Hill_Cemetery	B	42.719213	-73.663171	12180

